,거래소코드,회계년도,종업원1인당부가가치(백만원),종업원수,종업원1인당매출액(백만원),종업원1인당정상영업이익(백만원),종업원1인당순이익(백만원),종업원1인당인건비(백만원),노동장비율,기계장비율,자본집약도,종업원1인당부가가치증가율,종업원수증가율,종업원1인당매출액증가율,종업원1인당인건비증가율,사내유보율,사내유보대자기자본비율,평균배당률,자기자본배당률,배당성향,1주당순자산(원)
0,058820,2011,27.18,135.0,131.49,5.3,-9.37,23.04,71.32,19.75,204.06,340.08,4.65,49.45,-43.16,0.0,-245.87,0.0,0.0,0.0,386.51
1,058820,2012,-0.66,134.0,121.31,-30.19,-51.44,34.91,69.14,18.64,425.29,-102.42,-0.74,-7.75,51.49,0.0,-165.71,0.0,0.0,0.0,643.72
2,058820,2013,51.12,136.0,149.43,6.05,2.47,36.55,66.01,17.77,411.48,0.0,1.49,23.18,4.72,0.0,-106.33,0.0,0.0,0.0,492.83
3,058820,2014,43.08,164.0,138.74,2.72,1.05,34.15,113.9,32.6,354.43,-15.73,20.59,-7.16,-6.59,0.0,-106.65,0.0,0.0,0.0,447.56
4,058820,2015,27.67,156.0,173.35,-16.48,-23.39,39.86,114.25,30.43,362.77,-35.77,-4.88,24.95,16.74,0.0,-120.22,0.0,0.0,0.0,397.6
5,058820,2016,65.74,160.0,206.06,10.82,10.58,41.77,105.51,24.03,693.62,137.58,2.56,18.87,4.78,0.0,-53.95,0.0,0.0,0.0,958.84
6,058820,2017,68.55,200.0,207.68,7.79,14.17,43.93,80.77,17.62,547.84,4.27,25.0,0.78,5.19,0.0,-3.47,0.0,0.0,0.0,830.3
7,058820,2018,75.89,222.0,224.62,11.57,27.32,51.09,0.0,0.0,0.0,10.71,11.0,8.16,16.3,0.0,2.22,0.0,0.0,0.0,880.82
8,058820,2019,78.98,241.0,243.25,10.8,12.66,57.33,0.0,0.0,0.0,4.07,8.56,8.29,12.21,0.0,2.81,0.0,0.0,0.0,1552.77
9,000990,2011,84.5,2567.0,208.15,-15.58,-36.26,51.27,284.94,107.56,461.22,-41.82,5.38,-14.56,-17.54,0.0,-186.59,0.0,0.0,0.0,5132.76
10,000990,2012,104.95,2304.0,253.43,-6.26,-13.94,58.12,287.76,95.01,498.73,24.2,-10.25,21.75,13.36,0.0,-210.36,0.0,0.0,0.0,4444.95
11,000990,2013,92.68,2142.0,230.51,-4.39,-34.19,59.23,280.56,79.53,489.96,-11.69,-7.03,-9.04,1.9,0.0,-36.58,0.0,0.0,0.0,2764.35
12,000990,2014,103.89,1999.0,284.0,22.67,-29.17,63.37,275.62,68.42,501.23,12.09,-6.68,23.21,6.98,0.0,-98.57,0.0,0.0,0.0,1668.22
13,000990,2015,190.92,2004.0,332.63,62.06,63.61,68.47,244.25,83.69,501.83,83.78,0.25,17.12,8.05,0.0,-3.94,0.0,0.0,0.0,5469.77
14,000990,2016,164.37,2047.0,377.69,83.92,42.99,67.19,0.0,0.0,0.0,-13.91,2.15,13.55,-1.87,0.0,20.82,0.0,0.0,0.0,7611.25
15,000990,2017,150.9,1940.0,350.38,73.38,38.35,67.61,0.0,0.0,0.0,-8.2,-5.23,-7.23,0.62,0.0,34.61,4.93,2.48,14.74,9093.33
16,000990,2018,161.92,1955.0,342.34,57.74,48.64,67.46,0.0,0.0,0.0,7.3,0.77,-2.29,-0.22,0.0,49.52,4.88,2.0,11.42,11312.2
17,000990,2019,199.45,1979.0,407.99,91.54,61.22,72.68,0.0,0.0,0.0,23.18,1.23,19.18,7.74,0.0,57.62,6.83,2.36,12.55,13629.91
18,050120,2011,33.59,237.0,175.95,-8.78,-12.38,41.4,5.94,0.0,190.86,14.45,20.3,0.06,9.98,0.0,-7.97,0.0,0.0,0.0,1149.14
19,050120,2012,49.23,236.0,187.2,2.74,2.19,42.01,5.92,0.0,189.31,46.53,-0.42,6.39,1.48,100.0,1.22,0.0,0.0,0.0,1032.9
20,050120,2013,-57.23,0.0,458.23,2.17,-147.49,79.79,9.15,0.0,475.1,-216.25,-57.63,144.79,89.93,0.0,-31.95,0.0,0.0,0.0,1299.09
21,050120,2014,54.87,27.0,1377.34,12.07,-89.35,115.31,23.72,0.0,1663.49,0.0,-73.0,200.58,44.51,0.0,-6.03,0.0,0.0,0.0,1114.16
22,050120,2015,160.59,39.0,945.82,60.78,92.57,64.39,15.29,0.0,1208.3,192.7,44.44,-31.33,-44.16,0.0,8.13,0.0,0.0,0.0,1223.7
23,050120,2016,672.0,30.0,1160.61,78.65,582.3,77.26,155.77,0.0,3482.0,318.45,-23.08,22.71,20.0,0.0,30.22,0.0,0.0,0.0,1754.02
24,050120,2017,127.89,35.0,1060.14,62.0,34.83,67.83,0.0,0.0,0.0,-80.97,16.67,-8.66,-12.2,0.0,31.17,0.0,0.0,0.0,849.07
25,050120,2018,5.9,30.0,1043.63,23.05,-127.87,82.78,0.0,0.0,0.0,-95.39,-14.29,-1.56,22.04,0.0,28.8,0.0,0.0,0.0,792.52
26,050120,2019,-218.62,30.0,950.91,19.59,-424.62,80.92,0.0,0.0,0.0,-3805.31,0.0,-8.88,-2.25,0.0,7.75,0.0,0.0,0.0,632.51
27,097230,2011,130.71,2785.0,831.6,21.35,-41.75,70.97,510.77,33.44,2103.09,-1.74,-19.81,5.62,15.16,0.0,45.63,0.0,0.0,0.0,36993.22
28,097230,2012,185.29,2634.0,752.0,10.85,4.97,78.9,504.9,31.68,2254.41,41.75,-5.42,-9.57,11.17,0.0,45.51,0.0,0.0,0.0,38321.53
29,097230,2013,77.39,2758.0,698.81,-39.56,-77.13,97.21,473.99,27.6,2117.34,-58.23,4.71,-7.07,23.19,0.0,35.36,0.0,0.0,0.0,27798.39
30,097230,2014,94.81,2544.0,707.16,-41.76,-88.73,105.45,480.42,26.62,2150.08,22.51,-7.76,1.2,8.48,0.0,22.77,0.0,0.0,0.0,21486.44
31,097230,2015,64.98,2632.0,775.59,-37.16,-98.83,102.22,451.03,23.31,1762.3,-31.46,3.46,9.68,-3.07,0.0,0.92,0.0,0.0,0.0,13381.64
32,097230,2016,31.14,2473.0,779.86,19.94,-135.23,88.56,0.0,0.0,0.0,-52.07,-6.04,0.55,-13.36,0.0,-49.53,0.0,0.0,0.0,8619.82
33,097230,2017,25.21,2493.0,696.92,34.77,-119.95,81.36,261.26,13.51,1328.64,-19.06,0.81,-10.63,-8.12,0.0,-126.79,0.0,0.0,0.0,5267.71
34,097230,2018,-292.72,2271.0,771.01,-29.06,-424.25,79.98,0.0,0.0,0.0,-1261.31,-8.9,10.63,-1.7,0.0,0.0,0.0,0.0,0.0,0.0
35,097230,2019,144.82,2016.0,798.38,38.22,-36.53,85.28,0.0,0.0,0.0,0.0,-11.23,3.55,6.64,0.0,-523.14,0.0,0.0,0.0,2740.1
36,023150,2011,238.36,51.0,847.2,135.45,65.72,75.89,689.66,18.92,2665.24,-8.11,-3.77,3.69,-0.21,0.0,85.36,0.0,0.0,0.0,7410.89
37,023150,2012,220.69,52.0,874.78,125.36,49.46,76.2,661.98,14.56,2676.94,-7.41,1.96,3.26,0.41,0.0,85.99,0.0,0.0,0.0,7783.36
38,023150,2013,-198.03,51.0,907.81,189.22,-227.98,78.89,667.74,10.79,2402.37,-189.73,-1.92,3.78,3.53,0.0,82.42,0.0,0.0,0.0,6130.55
39,023150,2014,208.12,53.0,924.22,165.03,87.14,82.42,671.64,31.87,1608.56,0.0,3.92,1.81,4.47,0.0,82.1,32.1,2.81,31.95,6296.3
40,023150,2015,350.06,47.0,1072.05,236.05,164.78,93.27,778.27,45.25,1674.28,68.2,-11.32,15.99,13.16,0.0,84.97,39.59,3.16,23.49,6934.94
41,023150,2016,392.63,43.0,1137.14,276.21,189.18,112.54,860.18,47.99,1675.0,12.16,-8.51,6.07,20.67,0.0,86.9,47.05,3.42,26.58,7668.54
42,023150,2017,310.05,48.0,1005.63,217.77,122.98,102.8,0.0,0.0,0.0,-21.03,11.63,-11.56,-8.66,0.0,90.08,52.54,3.73,40.91,7815.54
43,023150,2018,320.95,50.0,938.86,180.57,131.07,109.2,0.0,0.0,0.0,3.51,4.17,-6.64,6.22,0.0,99.39,51.08,3.43,35.83,8335.92
44,023150,2019,108.44,47.0,999.84,166.57,-106.49,126.11,0.0,0.0,0.0,-66.21,-6.0,6.49,15.49,0.0,101.53,49.56,3.83,0.0,7140.62
45,002360,2011,130.47,109.0,1584.89,45.76,29.03,72.13,293.03,120.01,939.3,561.77,-1.8,17.01,2.04,0.0,4.5,0.0,0.0,0.0,573.04
46,002360,2012,117.54,112.0,1713.46,25.67,9.64,78.98,284.79,119.73,915.11,-9.91,2.75,8.11,9.49,0.0,6.05,0.0,0.0,0.0,575.79
47,002360,2013,161.43,116.0,1980.89,62.1,41.74,91.47,268.24,112.79,948.14,37.34,3.57,15.61,15.82,100.0,12.26,2.98,2.38,34.36,601.06
48,002360,2014,241.4,140.0,1621.22,144.82,111.21,84.29,216.82,90.48,779.27,49.54,20.69,-18.16,-7.85,100.0,26.39,8.95,5.98,32.05,691.41
49,002360,2015,239.01,146.0,1464.95,156.85,86.57,103.14,221.1,94.6,781.15,-0.99,4.29,-9.64,22.35,100.0,31.84,8.75,5.38,38.61,759.82
50,002360,2016,266.29,148.0,1448.51,159.46,118.74,99.66,0.0,0.0,0.0,11.42,1.37,-1.12,-3.37,100.0,39.53,10.94,5.92,34.71,861.64
51,002360,2017,184.19,148.0,1247.79,89.12,60.17,93.21,207.04,88.11,832.85,-30.83,0.0,-13.86,-6.48,100.0,40.46,8.56,4.51,53.55,901.92
52,002360,2018,127.24,156.0,1158.67,18.02,17.74,93.24,0.0,0.0,0.0,-30.92,5.41,-7.14,0.03,100.0,39.13,4.57,2.45,92.13,904.99
53,002360,2019,82.02,158.0,874.44,-14.96,-19.95,91.7,0.0,0.0,0.0,-35.54,1.28,-24.53,-1.65,0.0,35.02,0.0,0.0,0.0,867.69
54,009160,2011,185.78,257.0,832.17,106.55,82.48,68.96,239.68,39.19,1155.46,10.84,11.74,5.98,7.34,0.0,20.24,18.58,1.73,12.75,5227.86
55,009160,2012,165.47,275.0,814.02,92.04,81.88,65.75,233.39,45.03,1117.7,-10.93,7.0,-2.18,-4.65,100.0,17.53,18.58,1.52,12.0,5979.67
56,009160,2013,159.27,277.0,738.37,85.71,69.3,63.41,232.03,47.67,1262.95,-3.75,0.73,-9.29,-3.56,100.0,14.48,14.86,1.09,11.26,6688.31
57,009160,2014,114.89,305.0,745.87,61.43,33.5,66.13,223.93,42.75,1079.76,-27.86,10.11,1.02,4.29,100.0,11.14,14.86,1.06,21.15,6901.02
58,009160,2015,163.89,296.0,720.11,79.83,65.7,72.36,238.62,53.4,1247.8,42.65,-2.95,-3.45,9.42,100.0,14.09,22.34,1.48,16.7,7408.57
59,009160,2016,149.73,306.0,705.36,69.95,53.74,68.92,0.0,0.0,0.0,-8.64,3.38,-2.05,-4.76,100.0,12.76,18.23,1.16,16.12,7746.68
60,009160,2017,109.55,305.0,666.07,45.81,23.39,58.28,0.0,0.0,0.0,-26.84,-0.33,-5.57,-15.44,100.0,8.35,13.68,0.89,27.89,7591.43
