,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,총자본증가율,유형자산증가율,비유동자산(백만원),재고자산증가율,자기자본증가율,매출액증가율,순이익증가율,종업원수증가율,자산대비_장기금융부채비율,투자활동현금흐름증감률_여부,직원증감률_여부,매출원가증감률_여부,자산매각_여부,배당금증감률_여부,자본증가률_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,재무적범주전략(FIN)변수,배당금지급_여부,LEV지수,KZ지수,WW지수,CL지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
0,케이알모터스(주),000040,2013,0,-4.29,9379.15,603.89,7.59,-6.64,-2.77,-5.6,-10.28,-5.6,-10.41,92.41,103.5,-1.25,0.61,-5.09,10.64,0.56,1.02,7.67,7.75,-3.94,51.05,27.66,104.3,49.02,50.98,96.05,129.91,17.23,207.12,146.77,11.75,9.07,18.49,0.84,1.69,1.67,1.69,4.03,2.49,4.82,3.34,1.73,1.77,0.94,2.27,0.0,0.0,1299.0,0.0,0.0,0.11,416.0,49.01566722539596,-2.0070897617471317,1.0249059308367676,57234.0,-33.323910673181764,-5.727256279092718,1.6604205173241293,-19.655004859086493,-4.819277108433735,0.003557623234016351,1,1,1,1,1,1,1,0,1,1,0,0.0,-85918759113.6992,-657604419.260705,280934961718.71027,0.0015496008877969732,1,154.0,1.0419408070073503e-05,666080.0,0.0012831106360918
1,(주)삼양홀딩스,000070,2013,1,0.14,196611.7,-1765.62,13.02,-1.13,0.83,-0.98,-2.6,-1.27,-79.62,86.98,99.89,-0.4,-0.11,-1.08,6.33,-0.11,-0.26,3.34,2.96,2976.55,38.44,26.31,62.45,63.9,36.1,3052.99,160.65,24.37,76.97,57.42,14.51,19.8,30.98,0.87,1.4,56.8,2.3,15.35,2.96,7.9,11.26,1.47,2.46,1.33,1.1,1.0,0.0,871020.0,2614.0,1961.0,10.19,167293.0,63.898479731552314,-5.578920673453891,1.982407044007986,1597437.0,-19.772823143183775,-0.28539557594763537,24.949706716393088,-127.90875982365344,-3.0864197530864197,0.06446574810371057,0,1,1,1,0,0,1,0,1,1,1,0.07196763425061838,-244282007023.55707,1183926431.1225674,133721161315.17215,0.09970686791153638,4,102250.0,0.0020216297307282,-91060.0,-0.001832965114827
2,(주)두산,000150,2015,1,0.38,574662.07,45660.54,15.78,-8.97,1.01,-5.41,-14.31,-6.04,-290.16,84.22,98.6,-4.14,3.39,-3.36,14.93,2.97,2.82,4.89,5.09,2077.6,39.05,22.33,64.08,26.6,73.4,1911.18,86.3,16.34,103.02,92.14,-6.2,45.02,169.26,0.6,2.19,140.62,0.83,6.92,2.0,6.77,6.76,0.99,2.18,0.74,75.6,4.33,74.01,1189819.0,29351.0,36451.0,8.3,908961.0,26.598566182167687,1.361079451135823,0.0,4534285.0,-6.557761148112457,-20.286287038332325,-15.418136129663724,-494.38780113687625,-0.25380710659898476,0.1278885371920466,0,1,1,0,0,1,1,1,1,1,1,0.08846527608250998,-208137786330.2708,1459635589.7274845,201121662167.7671,-0.7864237827489774,0,-426231.0,-0.0012606345439989,-625687.0,-0.0049268058608712
3,성창기업지주(주),000180,2013,0,-1.39,28423.83,1111.8,14.62,-2.82,-0.52,-1.31,-1.67,-1.35,-14.19,85.38,101.41,-0.87,0.74,-0.96,16.93,0.72,1.57,3.49,3.64,744.74,24.94,43.2,33.23,78.21,21.79,844.74,141.85,20.2,81.77,55.23,7.36,13.52,17.29,0.46,0.59,5.03,2.13,8.6,2.57,4.65,5.32,0.64,0.67,1.04,11.86,0.0,0.0,188378.0,0.0,0.0,3.1,13133.0,78.21480267523432,-1.353309748092579,4.182329112076202,243194.0,16.459834534294103,-1.5328245935780673,-6.497525520012899,-104.53432155559814,-8.974358974358974,0.040532824705486574,0,1,1,1,1,1,1,0,1,1,0,0.07876220383855063,-46196919234.92603,2632380582.12093,180957851075.95245,0.10637875909141122,0,28438.0,0.0013366322379963,-43268.0,0.0001474502753835
4,성창기업지주(주),000180,2016,0,0.62,56531.73,841.14,15.83,11.64,0.34,4.23,5.41,4.36,58.73,84.17,99.46,-0.46,0.46,4.4,15.59,0.46,0.78,4.44,4.39,1304.93,16.05,36.06,19.11,79.15,20.85,1397.28,174.24,22.23,98.5,72.08,6.84,5.58,7.05,0.36,0.46,5.04,1.68,8.52,2.45,5.15,5.51,0.46,0.49,1.09,4.98,0.25,39.25,205777.0,0.0,0.0,1.73,12193.0,79.15203451694659,75.56896237813861,120.34129252724108,534315.0,9.74788413398498,80.59395434209017,2.2949155410168918,729.7479747974797,1.5151515151515151,0.019158099493904384,1,1,1,1,0,1,1,1,1,1,1,0.03439539901325798,-94807831169.41277,33817000.232484266,-253596241001.8699,-0.13777101066746794,2,671474.0,0.0016371900786203,819639.0,0.0020996252370985
5,성창기업지주(주),000180,2017,0,-0.19,38510.47,972.87,15.16,2.31,0.01,0.64,0.83,0.66,11.54,84.84,100.13,-0.39,0.55,0.79,13.97,0.53,0.68,2.02,2.56,1315.95,14.94,41.84,17.56,76.74,23.26,1393.67,143.07,20.33,82.18,50.5,4.5,9.49,12.37,0.28,0.35,4.95,1.25,7.56,2.92,4.59,5.1,0.33,0.34,1.09,8.03,0.0,0.0,209398.0,58.0,0.0,3.53,23029.0,76.74133821733075,2.7760625101148415,3.973367823289694,556382.0,11.021804654193934,-0.3541397025544113,-1.7036620463793049,-80.4793709440576,11.940298507462686,0.03520667044789171,0,1,1,1,0,1,1,0,1,1,0,0.065720834497709,-39966190220.251884,-222036386.90566942,4923585154.936714,-0.2977359265150677,3,1458198.0,0.0027761676435746,183176.0,0.0006710354163712
6,디엘(주),000210,2013,0,0.53,574662.07,17691.58,5.17,-0.1,0.89,-0.09,-0.52,-0.12,-11.37,94.83,99.6,-0.08,0.18,0.07,7.08,0.17,0.29,4.08,4.5,2057.46,64.3,14.95,180.08,45.17,54.83,2157.46,155.43,35.04,82.89,155.61,22.93,17.1,37.86,0.9,2.01,45.07,1.64,6.31,1.64,8.99,10.67,2.6,6.75,0.84,29.64,0.08,2.44,1189819.0,29351.0,4609.0,38.86,908961.0,45.16659344988481,1.361079451135823,-7.578303112351397,4534285.0,-6.557761148112457,-20.286287038332325,-15.418136129663724,-111.00249185355568,0.6642066420664207,0.1278885371920466,0,1,1,0,0,1,1,0,1,1,1,0.061654566055161154,-155211933578.95163,533367755.79562277,99074322875.50815,-0.7864237827489774,1,2233377.0,0.0122287415014341,-3625979.0,-0.0185324089870611
7,디엘(주),000210,2014,1,-3.33,494645.17,31419.37,2.11,-4.74,-2.06,-4.12,-10.15,-5.19,-207.78,97.89,102.91,-0.12,0.34,-3.83,7.29,0.31,0.52,4.26,4.33,1835.07,60.61,14.54,153.9,42.14,57.86,1935.07,149.36,31.91,100.66,159.59,20.03,17.98,42.66,0.87,1.99,42.54,1.54,5.99,1.63,9.44,10.34,2.32,6.77,0.84,18.54,0.09,0.0,1189819.0,29351.0,36451.0,28.6,908961.0,42.13809010128512,1.361079451135823,-4.3178242718405055,4534285.0,-6.557761148112457,-20.286287038332325,-15.418136129663724,1169.1637630662021,-4.06891495601173,0.1278885371920466,0,1,1,0,1,1,1,0,1,1,1,0.08846527608250998,-41244453578.88634,1105666218.5423257,202089150590.15063,-0.7864237827489774,1,-2124518.0,-0.0101600629137309,-122922.0,0.0006047335528067
8,일동홀딩스(주),000230,2016,0,-2.33,12234.9,827.1,43.38,78.21,-0.62,58.52,63.04,33.89,1390.8,56.62,109.16,-2.03,2.03,58.7,30.52,1.79,0.37,2.37,1.18,1360.47,38.96,6.21,63.82,52.35,47.65,1450.66,162.51,112.1,183.35,51.65,14.99,31.16,59.53,0.09,0.18,2.53,0.18,2.84,0.27,1.01,0.56,0.15,0.23,0.13,124.64,1.01,0.39,532752.0,0.0,0.0,12.66,30078.0,52.3489867116146,-71.07752133530224,-84.10634756399298,124578.0,-93.52059777541399,-69.47319997371287,6.448917782825514,-13.567108902536216,-95.03105590062113,0.14737760181882326,1,0,1,0,0,0,1,0,1,1,1,0.10605837033519158,-586062326321.2336,-17767433743.20834,-1351098049439.1162,-0.09519795049695412,2,-32931.0,-0.0004062702380879,43402.0,-0.0009951222481241
9,일동홀딩스(주),000230,2017,0,0.61,20134.11,1550.73,44.23,0.06,0.78,0.01,0.47,0.02,7.36,55.77,104.45,-3.78,3.78,0.66,34.46,3.44,1.57,3.21,3.27,1558.09,21.22,9.22,26.93,63.54,36.46,1651.34,71.46,42.23,150.36,61.21,-8.47,24.03,37.81,0.17,0.29,4.64,0.42,14.07,0.64,7.97,4.8,0.24,0.83,0.31,1.33,1.19,112.09,41649.0,0.0,8.0,2.76,60.0,63.47024803634852,34.37046764140958,0.42861186365290527,215917.0,8.917713822456424,62.91675246635092,0.7358171249172205,-100.59101654846336,1.3888888888888888,0.000218791251267166,0,1,1,1,1,0,1,0,1,1,1,0.0002315663673508243,-461353957472.5653,604593422.9665756,80097044020.25151,-0.26338973691784895,0,-854.0,1.3400834771893502e-05,-148806.0,-0.001701705659403
