"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017- 04- 28","4,445","4,370","4,470","4,360","363.25K","1.37%"
"2017- 04- 27","4,385","4,380","4,395","4,335","205.77K","0.23%"
"2017- 04- 26","4,375","4,300","4,390","4,240","152.66K","2.34%"
"2017- 04- 25","4,275","4,250","4,285","4,225","70.17K","1.06%"
"2017- 04- 24","4,230","4,360","4,360","4,210","180.24K","-2.53%"
"2017- 04- 21","4,340","4,340","4,400","4,310","139.38K","0.23%"
"2017- 04- 20","4,330","4,340","4,350","4,275","120.78K","-0.69%"
"2017- 04- 19","4,360","4,320","4,395","4,310","262.77K","0.81%"
"2017- 04- 18","4,325","4,210","4,325","4,205","285.19K","2.85%"
"2017- 04- 17","4,205","4,055","4,215","4,055","250.90K","3.70%"
"2017- 04- 14","4,055","4,110","4,110","4,025","189.37K","-1.34%"
"2017- 04- 13","4,110","4,085","4,135","4,065","126.90K","0.61%"
"2017- 04- 12","4,085","4,100","4,120","4,020","157.86K","0.12%"
"2017- 04- 11","4,080","4,040","4,125","4,035","149.83K","0.12%"
"2017- 04- 10","4,075","4,215","4,215","4,070","225.49K","-2.74%"
"2017- 04- 07","4,190","4,170","4,240","4,100","185.09K","0.36%"
"2017- 04- 06","4,175","4,205","4,220","4,165","110.29K","-0.60%"
"2017- 04- 05","4,200","4,250","4,275","4,180","131.61K","-1.18%"
"2017- 04- 04","4,250","4,275","4,305","4,225","141.03K","-1.28%"
"2017- 04- 03","4,305","4,260","4,320","4,255","265.16K","1.29%"
"2017- 03- 31","4,250","4,200","4,260","4,160","123.38K","1.55%"
"2017- 03- 30","4,185","4,200","4,235","4,150","115.37K","-0.36%"
"2017- 03- 29","4,200","4,200","4,230","4,165","117.47K","0.36%"
"2017- 03- 28","4,185","4,165","4,280","4,165","143.42K","0.48%"
"2017- 03- 27","4,165","4,265","4,280","4,160","173.54K","-2.34%"
"2017- 03- 26","4,265","4,265","4,265","4,265","","0.00%"
"2017- 03- 24","4,265","4,280","4,285","4,150","137.09K","0.59%"
"2017- 03- 23","4,240","4,350","4,365","4,215","239.10K","-2.08%"
"2017- 03- 22","4,330","4,305","4,350","4,270","184.85K","-0.92%"
"2017- 03- 21","4,370","4,300","4,395","4,285","134.32K","1.98%"
"2017- 03- 20","4,285","4,345","4,375","4,285","111.88K","-1.49%"
"2017- 03- 19","4,350","4,350","4,350","4,350","","0.00%"
"2017- 03- 17","4,350","4,420","4,420","4,315","131.88K","-0.91%"
"2017- 03- 16","4,390","4,360","4,420","4,355","135.43K","0.34%"
"2017- 03- 15","4,375","4,450","4,470","4,340","123.40K","-1.69%"
"2017- 03- 14","4,450","4,455","4,470","4,400","130.99K","0.34%"
"2017- 03- 13","4,435","4,430","4,460","4,395","101.05K","0.91%"
"2017- 03- 10","4,395","4,350","4,420","4,305","108.75K","1.15%"
"2017- 03- 09","4,345","4,355","4,420","4,345","75.28K","-0.69%"
"2017- 03- 08","4,375","4,340","4,450","4,325","90.08K","0.69%"
"2017- 03- 07","4,345","4,300","4,365","4,300","75.18K","0.81%"
"2017- 03- 06","4,310","4,320","4,335","4,265","106.79K","-0.46%"
"2017- 03- 03","4,330","4,565","4,565","4,300","293.46K","-4.84%"
"2017- 03- 02","4,550","4,670","4,670","4,495","202.18K","-1.30%"
"2017- 03- 01","4,610","4,610","4,610","4,610","","0.00%"
"2017- 02- 28","4,610","4,655","4,665","4,585","69.49K","-0.86%"
"2017- 02- 27","4,650","4,645","4,695","4,635","62.08K","0.11%"
"2017- 02- 24","4,645","4,660","4,705","4,610","100.24K","-0.32%"
"2017- 02- 23","4,660","4,710","4,740","4,630","136.65K","-1.48%"
"2017- 02- 22","4,730","4,715","4,750","4,665","103.97K","0.32%"
"2017- 02- 21","4,715","4,670","4,730","4,640","113.08K","0.96%"
"2017- 02- 20","4,670","4,685","4,695","4,400","175.43K","0.00%"
"2017- 02- 19","4,670","4,670","4,670","4,670","","0.00%"
"2017- 02- 17","4,670","4,665","4,715","4,635","144.25K","-0.74%"
"2017- 02- 16","4,705","4,790","4,790","4,670","174.74K","-1.57%"
"2017- 02- 15","4,780","4,660","4,780","4,610","303.29K","3.80%"
"2017- 02- 14","4,605","4,650","4,695","4,570","263.40K","-0.86%"
"2017- 02- 13","4,645","4,565","4,660","4,550","71.48K","1.20%"
"2017- 02- 10","4,590","4,605","4,680","4,575","75.63K","0.00%"
