"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 04- 29","70,400","71,400","71,400","69,900","1.48K","-0.98%"
"2016- 04- 28","71,100","70,200","71,200","69,400","1.08K","1.43%"
"2016- 04- 27","70,100","70,300","70,700","69,000","3.01K","-0.14%"
"2016- 04- 26","70,200","71,200","71,500","67,000","9.03K","-1.96%"
"2016- 04- 25","71,600","71,900","72,800","70,700","2.14K","0.00%"
"2016- 04- 22","71,600","70,500","74,000","69,600","4.87K","1.85%"
"2016- 04- 21","70,300","70,200","71,400","69,000","5.58K","-0.14%"
"2016- 04- 20","70,400","70,000","72,500","69,700","5.85K","-0.98%"
"2016- 04- 19","71,100","70,500","71,800","69,600","3.46K","1.28%"
"2016- 04- 18","70,200","71,500","72,000","69,900","6.04K","-2.50%"
"2016- 04- 15","72,000","69,400","73,500","69,400","10.77K","2.71%"
"2016- 04- 14","70,100","71,100","71,500","69,300","10.66K","-1.82%"
"2016- 04- 12","71,400","73,800","74,700","70,500","13.81K","-3.25%"
"2016- 04- 11","73,800","73,800","75,900","72,000","12.86K","-1.07%"
"2016- 04- 10","74,600","74,600","74,600","74,600","","0.00%"
"2016- 04- 08","74,600","73,900","78,200","72,900","23.42K","0.81%"
"2016- 04- 07","74,000","77,100","78,500","72,500","34.81K","-5.49%"
"2016- 04- 06","78,300","88,800","92,700","76,200","115.11K","-12.12%"
"2016- 04- 05","89,100","79,100","89,100","78,700","65.77K","29.88%"
"2016- 04- 04","68,600","67,800","68,600","65,700","2.96K","0.44%"
"2016- 04- 01","68,300","67,100","68,900","66,100","1.88K","1.34%"
"2016- 03- 31","67,400","70,000","70,000","67,400","2.28K","-2.74%"
"2016- 03- 30","69,300","68,800","70,800","68,100","2.11K","0.73%"
"2016- 03- 29","68,800","68,500","69,800","67,200","2.75K","2.23%"
"2016- 03- 28","67,300","68,200","68,500","66,400","1.93K","-2.04%"
"2016- 03- 25","68,700","66,800","68,800","66,100","2.77K","1.78%"
"2016- 03- 24","67,500","68,400","68,400","66,400","2.29K","-1.32%"
"2016- 03- 23","68,400","65,000","71,200","64,200","10.46K","6.54%"
"2016- 03- 22","64,200","65,000","65,900","63,900","1.89K","-2.73%"
"2016- 03- 21","66,000","67,200","67,500","65,100","2.19K","-0.60%"
"2016- 03- 20","66,400","66,400","66,400","66,400","0.01K","0.00%"
"2016- 03- 18","66,400","66,700","67,500","65,500","2.06K","-0.45%"
"2016- 03- 17","66,700","62,900","67,800","62,900","8.34K","6.55%"
"2016- 03- 16","62,600","61,600","62,600","60,300","2.18K","1.62%"
"2016- 03- 15","61,600","62,400","62,400","61,000","1.86K","-1.28%"
"2016- 03- 14","62,400","63,000","63,500","61,500","2.65K","-0.79%"
"2016- 03- 11","62,900","64,800","64,900","62,100","2.63K","-2.63%"
"2016- 03- 10","64,600","64,500","65,300","63,000","1.53K","0.16%"
"2016- 03- 09","64,500","65,300","66,000","62,900","4.28K","-0.92%"
"2016- 03- 08","65,100","68,000","68,000","63,500","1.83K","-0.91%"
"2016- 03- 07","65,700","64,700","66,500","63,900","2.67K","1.70%"
"2016- 03- 06","64,600","64,600","64,600","64,600","","0.00%"
"2016- 03- 04","64,600","66,300","67,500","61,800","6.37K","-2.56%"
"2016- 03- 03","66,300","66,100","67,700","65,100","3.53K","0.15%"
"2016- 03- 02","66,200","62,800","66,800","62,700","6.20K","5.25%"
"2016- 02- 29","62,900","62,600","64,000","61,500","2.64K","0.48%"
"2016- 02- 26","62,600","61,800","65,000","61,600","1.50K","1.29%"
"2016- 02- 25","61,800","62,400","63,000","60,500","1.13K","-0.96%"
"2016- 02- 24","62,400","62,300","63,400","60,900","1.10K","0.16%"
"2016- 02- 23","62,300","61,700","62,500","60,600","1.38K","0.97%"
"2016- 02- 22","61,700","63,000","63,500","60,700","1.90K","0.65%"
"2016- 02- 19","61,300","61,000","63,200","60,000","4.99K","2.17%"
"2016- 02- 18","60,000","59,700","60,000","58,400","1.08K","1.87%"
"2016- 02- 17","58,900","58,700","60,000","58,100","0.78K","-0.84%"
"2016- 02- 16","59,400","60,800","60,800","58,900","1.35K","-2.30%"
"2016- 02- 15","60,800","60,000","60,900","58,500","1.37K","3.23%"
"2016- 02- 12","58,900","58,900","59,500","56,400","1.67K","-0.17%"
"2016- 02- 11","59,000","59,400","60,000","56,900","1.43K","-1.67%"
"2016- 02- 05","60,000","59,600","60,100","58,600","0.59K","1.18%"
"2016- 02- 04","59,300","60,500","60,500","58,300","0.69K","0.85%"
"2016- 02- 03","58,800","59,900","59,900","56,000","4.37K","-1.67%"
"2016- 02- 02","59,800","59,800","61,200","58,600","2.22K","0.17%"
"2016- 02- 01","59,700","57,400","61,900","56,700","4.52K","6.23%"
"2016- 01- 29","56,200","55,200","56,300","54,800","1.31K","1.81%"
"2016- 01- 28","55,200","53,700","56,700","53,500","2.50K","2.22%"
"2016- 01- 27","54,000","55,700","57,000","53,500","1.01K","0.56%"
"2016- 01- 26","53,700","54,100","54,300","52,800","0.34K","-0.74%"
"2016- 01- 25","54,100","54,700","55,800","53,100","1.65K","-1.10%"
"2016- 01- 22","54,700","55,000","55,400","53,100","0.99K","0.37%"
"2016- 01- 21","54,500","56,000","56,700","53,800","0.76K","-3.02%"
"2016- 01- 20","56,200","53,600","57,000","53,200","1.05K","4.07%"
