회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용)
(주)BNK금융지주,138930,2011/12,,
(주)BNK금융지주,138930,2012/12,,
(주)BNK금융지주,138930,2013/12,,
(주)BNK금융지주,138930,2014/12,,
(주)BNK금융지주,138930,2015/12,,
(주)BNK금융지주,138930,2016/12,,
(주)BNK금융지주,138930,2017/12,,
(주)BNK금융지주,138930,2018/12,,
(주)BNK금융지주,138930,2019/12,,
(주)CMG제약,058820,2011/12,3.85,-7.84
(주)CMG제약,058820,2012/12,-7.45,-16.25
(주)CMG제약,058820,2013/12,0.73,2.07
(주)CMG제약,058820,2014/12,3.63,999999999
(주)CMG제약,058820,2015/12,-32.2,999999999
(주)CMG제약,058820,2016/12,999999999,999999999
(주)CMG제약,058820,2017/12,999999999,999999999
(주)CMG제약,058820,2018/12,999999999,999999999
(주)CMG제약,058820,2019/12,303,999999999
(주)DB하이텍,000990,2011/12,-0.62,-0.83
(주)DB하이텍,000990,2012/12,-0.29,-0.06
(주)DB하이텍,000990,2013/12,-0.16,-0.28
(주)DB하이텍,000990,2014/12,0.67,-0.01
(주)DB하이텍,000990,2015/12,2.49,3.34
(주)DB하이텍,000990,2016/12,4.39,3.47
(주)DB하이텍,000990,2017/12,6.01,4.2
(주)DB하이텍,000990,2018/12,6.76,9.08
(주)DB하이텍,000990,2019/12,13.43,16.83
(주)ES큐브,050120,2011/12,-142.77,999999999
(주)ES큐브,050120,2012/12,20.03,999999999
(주)ES큐브,050120,2013/12,9.51,999999999
(주)ES큐브,050120,2014/12,999999999,999999999
(주)ES큐브,050120,2015/12,999999999,999999999
(주)ES큐브,050120,2016/12,11.58,999999999
(주)ES큐브,050120,2017/12,2.76,4.67
(주)ES큐브,050120,2018/12,0.47,-4.3
(주)ES큐브,050120,2019/12,0.17,-3.38
(주)HJ중공업,097230,2011/12,0.22,0.3
(주)HJ중공업,097230,2012/12,0.17,1.17
(주)HJ중공업,097230,2013/12,-0.72,-1.17
(주)HJ중공업,097230,2014/12,-0.78,-1.09
(주)HJ중공업,097230,2015/12,-0.75,-1.71
(주)HJ중공업,097230,2016/12,0.4,-2.06
(주)HJ중공업,097230,2017/12,0.89,-2.46
(주)HJ중공업,097230,2018/12,-0.66,-10.43
(주)HJ중공업,097230,2019/12,0.64,0.41
(주)JB금융지주,175330,2013/12,,
(주)JB금융지주,175330,2014/12,,
(주)JB금융지주,175330,2015/12,,
(주)JB금융지주,175330,2016/12,,
(주)JB금융지주,175330,2017/12,,
(주)JB금융지주,175330,2018/12,,
(주)JB금융지주,175330,2019/12,,
(주)KB금융지주,105560,2011/12,,
(주)KB금융지주,105560,2012/12,,
(주)KB금융지주,105560,2013/12,,
(주)KB금융지주,105560,2014/12,,
(주)KB금융지주,105560,2015/12,,
(주)KB금융지주,105560,2016/12,,
(주)KB금융지주,105560,2017/12,,
(주)KB금융지주,105560,2018/12,,
(주)KB금융지주,105560,2019/12,,
(주)MH에탄올,023150,2011/12,1.5,2.63
(주)MH에탄올,023150,2012/12,1.64,2.18
(주)MH에탄올,023150,2013/12,3.44,-6.03
(주)MH에탄올,023150,2014/12,5.62,4.43
(주)MH에탄올,023150,2015/12,12.7,16.96
(주)MH에탄올,023150,2016/12,29.42,107.9
(주)MH에탄올,023150,2017/12,33.29,999999999
(주)MH에탄올,023150,2018/12,8.73,14.16
(주)MH에탄올,023150,2019/12,7.59,-3.72
(주)SH에너지화학,002360,2011/12,3.09,6.21
(주)SH에너지화학,002360,2012/12,2.26,3.74
(주)SH에너지화학,002360,2013/12,5.95,12.1
(주)SH에너지화학,002360,2014/12,25.43,502.17
(주)SH에너지화학,002360,2015/12,85,88.36
(주)SH에너지화학,002360,2016/12,209.47,999999999
(주)SH에너지화학,002360,2017/12,155.23,999999999
(주)SH에너지화학,002360,2018/12,30.8,999999999
(주)SH에너지화학,002360,2019/12,-18.2,999999999
(주)SIMPAC,009160,2011/12,22.12,999999999
(주)SIMPAC,009160,2012/12,15.59,999999999
(주)SIMPAC,009160,2013/12,16.68,999999999
(주)SIMPAC,009160,2014/12,9.26,999999999
(주)SIMPAC,009160,2015/12,23.49,999999999
(주)SIMPAC,009160,2016/12,20.91,999999999
(주)SIMPAC,009160,2017/12,15.27,999999999
(주)SIMPAC,009160,2018/12,3.25,999999999
(주)SIMPAC,009160,2019/12,2.86,999999999
(주)SNT에너지,100840,2011/12,-9.37,-17.29
(주)SNT에너지,100840,2012/12,77.44,999999999
(주)SNT에너지,100840,2013/12,50.81,999999999
(주)SNT에너지,100840,2014/12,41.09,999999999
(주)SNT에너지,100840,2015/12,359.1,999999999
(주)SNT에너지,100840,2016/12,999999999,999999999
(주)SNT에너지,100840,2017/12,999999999,999999999
(주)SNT에너지,100840,2018/12,999999999,999999999
(주)SNT에너지,100840,2019/12,2833.92,999999999
(주)SNT홀딩스,036530,2011/12,999999999,999999999
(주)SNT홀딩스,036530,2012/12,999999999,999999999
(주)SNT홀딩스,036530,2013/12,999999999,999999999
(주)SNT홀딩스,036530,2014/12,999999999,999999999
(주)SNT홀딩스,036530,2015/12,999999999,999999999
(주)SNT홀딩스,036530,2016/12,999999999,999999999
(주)SNT홀딩스,036530,2017/12,999999999,999999999
(주)SNT홀딩스,036530,2018/12,999999999,999999999
(주)SNT홀딩스,036530,2019/12,999999999,999999999
(주)STX,011810,2011/12,0.67,2.06
(주)STX,011810,2012/12,0.19,0.4
(주)STX,011810,2013/12,-0.8,-22.96
(주)STX,011810,2014/12,0.53,10.91
(주)STX,011810,2015/12,-0.42,-0.88
(주)STX,011810,2016/12,-2.95,-13.31
(주)STX,011810,2017/12,1.56,20.82
(주)STX,011810,2018/12,-0.58,1.53
(주)STX,011810,2019/12,-1.05,-2.86
(주)TCC스틸,002710,2011/12,1.83,2.46
(주)TCC스틸,002710,2012/12,1.44,1.81
(주)TCC스틸,002710,2013/12,1.01,1.17
(주)TCC스틸,002710,2014/12,1.31,1.74
(주)TCC스틸,002710,2015/12,2.11,-29.1
(주)TCC스틸,002710,2016/12,2.36,5.27
(주)TCC스틸,002710,2017/12,1.41,1.13
(주)TCC스틸,002710,2018/12,3.46,5.22
(주)TCC스틸,002710,2019/12,2.34,2.74
(주)가비아,079940,2011/12,10.86,20.15
(주)가비아,079940,2012/12,6.25,999999999
(주)가비아,079940,2013/12,7.48,999999999
(주)가비아,079940,2014/12,11.16,43.88
(주)가비아,079940,2015/12,28.34,999999999
(주)가비아,079940,2016/12,33.33,999999999
(주)가비아,079940,2017/12,27.12,999999999
(주)가비아,079940,2018/12,25.87,999999999
(주)가비아,079940,2019/12,19.48,999999999
(주)가온칩스,399720,2018/12,,
(주)가온칩스,399720,2019/12,999999999,999999999
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,-117.8,999999999
(주)강스템바이오텍,217730,2015/12,-5.41,-5.97
(주)강스템바이오텍,217730,2016/12,-18.89,-52.6
(주)강스템바이오텍,217730,2017/12,-7.93,-7.52
(주)강스템바이오텍,217730,2018/12,-11.95,-17.95
(주)강스템바이오텍,217730,2019/12,-23.34,-56.95
(주)강원랜드,035250,2011/12,1173.14,999999999
(주)강원랜드,035250,2012/12,643.6,999999999
(주)강원랜드,035250,2013/12,1460.36,999999999
(주)강원랜드,035250,2014/12,2126.84,999999999
(주)강원랜드,035250,2015/12,2661.2,999999999
(주)강원랜드,035250,2016/12,2743.01,999999999
(주)강원랜드,035250,2017/12,2717.07,999999999
(주)강원랜드,035250,2018/12,2008.39,999999999
(주)강원랜드,035250,2019/12,276.34,999999999
(주)강원에너지,114190,2011/11,376.82,999999999
(주)강원에너지,114190,2012/12,58.37,999999999
(주)강원에너지,114190,2013/12,18.11,999999999
(주)강원에너지,114190,2014/12,39.01,999999999
(주)강원에너지,114190,2015/12,762.26,999999999
(주)강원에너지,114190,2016/12,-166.17,999999999
(주)강원에너지,114190,2017/12,-89.84,999999999
(주)강원에너지,114190,2018/12,0.35,3.46
(주)강원에너지,114190,2019/12,-9.33,-22.53
(주)갤럭시아에스엠,011420,2011/12,3.37,9.7
