"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015- 03- 31","116,000","115,500","117,500","113,500","246.90K","0.43%"
"2015- 03- 30","115,500","116,000","116,000","114,000","121.44K","0.87%"
"2015- 03- 27","114,500","111,000","115,000","110,500","172.27K","3.15%"
"2015- 03- 26","111,000","109,000","112,000","108,500","144.55K","0.00%"
"2015- 03- 25","111,000","115,000","116,000","110,500","173.13K","-3.48%"
"2015- 03- 24","115,000","114,500","116,000","113,500","149.23K","1.32%"
"2015- 03- 23","113,500","115,500","116,500","112,500","125.34K","0.00%"
"2015- 03- 20","113,500","111,000","115,500","110,500","183.57K","3.18%"
"2015- 03- 19","110,000","112,000","112,000","109,000","120.48K","-0.45%"
"2015- 03- 18","110,500","112,000","114,000","110,000","185.97K","-0.45%"
"2015- 03- 17","111,000","106,000","111,500","105,500","279.41K","6.73%"
"2015- 03- 16","104,000","104,000","106,000","102,500","173.95K","0.00%"
"2015- 03- 15","104,000","104,000","104,000","104,000","0.01K","0.00%"
"2015- 03- 13","104,000","108,000","109,000","102,500","339.08K","-2.80%"
"2015- 03- 12","107,000","112,000","112,000","107,000","242.11K","-4.04%"
"2015- 03- 11","111,500","111,000","112,500","109,500","171.93K","-0.89%"
"2015- 03- 10","112,500","111,500","114,500","109,500","308.42K","2.74%"
"2015- 03- 09","109,500","111,500","112,500","109,000","161.75K","-2.23%"
"2015- 03- 08","112,000","112,000","112,000","112,000","0.15K","0.00%"
"2015- 03- 06","112,000","108,000","112,000","107,500","322.08K","4.67%"
"2015- 03- 05","107,000","104,000","108,000","104,000","194.88K","2.88%"
"2015- 03- 04","104,000","104,500","106,500","103,000","126.67K","-0.48%"
"2015- 03- 03","104,500","103,000","105,000","101,000","160.76K","1.95%"
"2015- 03- 02","102,500","105,000","105,000","102,000","159.79K","-2.38%"
"2015- 03- 01","105,000","105,000","105,000","105,000","0.04K","0.00%"
"2015- 02- 27","105,000","105,500","106,500","103,500","137.94K","-0.47%"
"2015- 02- 26","105,500","106,500","107,000","102,500","139.63K","0.00%"
"2015- 02- 25","105,500","105,000","107,500","104,000","219.88K","1.93%"
"2015- 02- 24","103,500","103,000","104,500","102,500","125.21K","0.98%"
"2015- 02- 23","102,500","104,000","104,500","101,500","115.46K","0.00%"
"2015- 02- 17","102,500","104,000","105,000","102,000","146.44K","-0.49%"
"2015- 02- 16","103,000","102,000","104,000","100,500","161.94K","0.00%"
"2015- 02- 15","103,000","103,000","103,000","103,000","0.10K","0.00%"
"2015- 02- 13","103,000","96,300","104,000","96,200","419.30K","7.85%"
"2015- 02- 12","95,500","98,600","99,000","95,500","141.06K","-2.85%"
"2015- 02- 11","98,300","95,200","99,300","94,600","175.92K","4.24%"
"2015- 02- 10","94,300","96,500","97,200","93,700","172.02K","-2.18%"
"2015- 02- 09","96,400","97,800","99,100","95,600","169.01K","-1.33%"
"2015- 02- 08","97,700","97,700","97,700","97,700","","0.00%"
"2015- 02- 06","97,700","98,900","100,500","97,700","145.14K","-0.91%"
"2015- 02- 05","98,600","99,900","101,000","98,400","151.75K","-0.80%"
"2015- 02- 04","99,400","101,000","101,500","99,300","162.49K","-1.09%"
"2015- 02- 03","100,500","99,900","101,000","98,500","156.58K","1.93%"
"2015- 02- 02","98,600","97,500","101,000","95,300","239.79K","0.72%"
"2015- 02- 01","97,900","97,900","97,900","97,900","","0.00%"
"2015- 01- 30","97,900","104,500","104,500","97,200","665.91K","-5.87%"
"2015- 01- 29","104,000","109,000","109,500","103,500","323.04K","-5.02%"
"2015- 01- 28","109,500","111,000","111,500","107,500","175.42K","2.34%"
"2015- 01- 27","107,000","105,500","110,000","102,000","302.74K","0.94%"
"2015- 01- 26","106,000","107,500","108,500","104,500","85.80K","-0.93%"
"2015- 01- 25","107,000","107,000","107,000","107,000","","0.00%"
"2015- 01- 23","107,000","110,000","110,000","105,500","123.85K","0.00%"
"2015- 01- 22","107,000","113,000","113,000","107,000","133.96K","-4.04%"
"2015- 01- 21","111,500","110,500","111,500","108,500","113.85K","1.83%"
"2015- 01- 20","109,500","107,000","109,500","106,500","116.85K","2.82%"
"2015- 01- 19","106,500","109,500","112,500","105,000","204.72K","-1.84%"
"2015- 01- 18","108,500","108,500","108,500","108,500","","0.00%"
"2015- 01- 16","108,500","114,000","114,500","107,500","224.95K","-5.65%"
"2015- 01- 15","115,000","112,500","115,000","112,000","88.00K","2.22%"
"2015- 01- 14","112,500","117,000","119,500","112,000","145.31K","-2.17%"
"2015- 01- 13","115,000","117,500","119,000","115,000","211.38K","-1.71%"
"2015- 01- 12","117,000","110,000","118,500","110,000","213.76K","5.41%"
"2015- 01- 11","111,000","111,000","111,000","111,000","","0.00%"
"2015- 01- 09","111,000","114,000","115,500","111,000","124.06K","-1.77%"
"2015- 01- 08","113,000","108,500","113,500","108,000","151.59K","5.61%"
"2015- 01- 07","107,000","108,500","111,500","106,500","137.94K","-1.83%"
"2015- 01- 06","109,000","112,500","116,000","108,500","222.74K","-4.39%"
"2015- 01- 05","114,000","112,000","116,500","109,500","171.55K","2.24%"
"2015- 01- 04","111,500","111,500","111,500","111,500","","0.00%"
"2015- 01- 02","111,500","111,500","114,000","110,000","149.04K","-0.89%"
"2015- 01- 01","112,500","112,500","112,500","112,500","","0.00%"
"2014- 12- 30","112,500","111,000","113,000","108,000","189.43K","2.27%"
"2014- 12- 29","110,000","106,000","112,500","105,000","246.89K","5.77%"
"2014- 12- 28","104,000","104,000","104,000","104,000","","0.00%"
"2014- 12- 26","104,000","107,000","107,500","104,000","83.13K","-1.89%"
"2014- 12- 25","106,000","106,000","106,000","106,000","","0.00%"
"2014- 12- 24","106,000","107,500","109,000","103,500","267.15K","-2.30%"
"2014- 12- 23","108,500","97,000","111,500","97,000","404.78K","11.74%"
"2014- 12- 22","97,100","97,500","97,800","95,500","101.15K","-0.10%"
"2014- 12- 19","97,200","98,500","98,600","96,100","88.23K","-0.61%"
"2014- 12- 18","97,800","101,000","101,500","95,300","165.96K","-2.20%"
"2014- 12- 17","100,000","98,400","102,000","98,200","111.72K","1.63%"
"2014- 12- 16","98,400","99,000","100,000","98,300","82.91K","-2.09%"
"2014- 12- 15","100,500","99,000","101,000","98,100","98.53K","0.50%"
"2014- 12- 14","100,000","100,000","100,000","100,000","","0.00%"
"2014- 12- 12","100,000","101,500","102,000","99,500","110.19K","0.20%"
"2014- 12- 11","99,800","100,500","102,500","99,500","134.12K","-1.67%"
"2014- 12- 10","101,500","103,500","105,000","100,500","95.47K","-1.93%"
"2014- 12- 09","103,500","106,500","106,500","102,500","166.60K","-2.82%"
"2014- 12- 08","106,500","103,500","107,000","103,500","186.94K","3.90%"
"2014- 12- 05","102,500","101,000","103,500","100,500","145.24K","1.99%"
"2014- 12- 04","100,500","100,500","101,500","99,800","164.95K","0.60%"
"2014- 12- 03","99,900","102,500","103,000","99,800","146.88K","-3.48%"
"2014- 12- 02","103,500","102,500","103,500","99,900","138.49K","0.00%"
"2014- 12- 01","103,500","99,900","104,000","97,700","246.73K","3.60%"
"2014- 11- 30","99,900","99,900","99,900","99,900","","0.00%"
"2014- 11- 28","99,900","99,900","101,000","97,600","206.88K","-0.60%"
"2014- 11- 27","100,500","102,500","105,000","97,300","391.70K","-2.90%"
"2014- 11- 26","103,500","109,000","109,000","103,000","223.11K","-4.61%"
"2014- 11- 25","108,500","108,500","110,000","104,500","199.41K","0.46%"
"2014- 11- 24","108,000","111,000","111,000","105,500","182.35K","-0.46%"
"2014- 11- 23","108,500","108,500","108,500","108,500","","0.00%"
"2014- 11- 21","108,500","104,500","109,000","104,000","429.20K","6.37%"
"2014- 11- 20","102,000","96,600","102,500","96,600","259.40K","5.81%"
"2014- 11- 19","96,400","96,500","97,400","95,500","126.56K","0.94%"
"2014- 11- 18","95,500","96,500","98,600","95,000","144.02K","-1.34%"
"2014- 11- 17","96,800","93,300","97,800","93,000","132.73K","2.22%"
"2014- 11- 16","94,700","94,700","94,700","94,700","","0.00%"
"2014- 11- 14","94,700","97,700","98,200","94,600","184.35K","-4.73%"
"2014- 11- 13","99,400","98,000","100,500","95,000","199.45K","2.47%"
"2014- 11- 12","97,000","94,200","101,000","91,500","437.49K","3.85%"
"2014- 11- 11","93,400","91,100","93,400","91,000","306.33K","3.32%"
"2014- 11- 10","90,400","88,900","90,600","88,200","248.57K","2.49%"
"2014- 11- 09","88,200","88,200","88,200","88,200","","0.00%"
"2014- 11- 07","88,200","89,000","89,000","86,800","201.74K","-0.45%"
"2014- 11- 06","88,600","85,900","88,800","84,800","479.53K","5.10%"
"2014- 11- 05","84,300","81,500","85,900","81,500","439.89K","2.55%"
"2014- 11- 04","82,200","82,700","84,400","80,100","433.02K","-0.72%"
"2014- 11- 03","82,800","85,300","86,600","82,000","431.25K","-2.01%"
"2014- 11- 02","84,500","84,500","84,500","84,500","","0.00%"
"2014- 10- 31","84,500","87,300","87,600","83,300","705.15K","-2.42%"
"2014- 10- 30","86,600","92,000","94,000","86,500","1.38M","-14.68%"
"2014- 10- 29","101,500","107,000","112,500","100,500","561.48K","-4.25%"
"2014- 10- 28","106,000","105,000","107,500","103,000","116.41K","0.00%"
"2014- 10- 27","106,000","104,000","108,000","101,000","267.90K","1.92%"
"2014- 10- 26","104,000","104,000","104,000","104,000","","0.00%"
"2014- 10- 24","104,000","115,500","116,500","100,500","581.90K","-9.57%"
"2014- 10- 23","115,000","118,000","119,000","113,000","140.73K","-4.17%"
"2014- 10- 22","120,000","121,500","122,500","117,500","188.65K","1.69%"
"2014- 10- 21","118,000","121,000","121,500","116,000","160.85K","-1.26%"
"2014- 10- 20","119,500","113,500","119,500","113,000","143.90K","7.17%"
"2014- 10- 17","111,500","113,500","117,500","107,000","283.42K","-0.45%"
"2014- 10- 16","112,000","112,000","113,000","106,500","224.86K","-1.75%"
"2014- 10- 15","114,000","117,500","117,500","114,000","68.28K","-2.15%"
"2014- 10- 14","116,500","119,000","119,500","115,500","90.47K","-2.10%"
"2014- 10- 13","119,000","118,000","119,000","113,500","104.53K","0.00%"
"2014- 10- 12","119,000","119,000","119,000","119,000","","0.00%"
"2014- 10- 10","119,000","122,500","122,500","118,000","103.64K","-2.06%"
"2014- 10- 09","121,500","121,500","121,500","121,500","","0.00%"
"2014- 10- 08","121,500","118,500","123,000","117,000","182.54K","2.10%"
"2014- 10- 07","119,000","117,500","120,500","116,500","133.85K","1.28%"
"2014- 10- 06","117,500","118,500","120,000","115,000","120.24K","-1.67%"
"2014- 10- 05","119,500","119,500","119,500","119,500","","0.00%"
"2014- 10- 02","119,500","116,500","121,000","116,000","216.28K","2.14%"
"2014- 10- 01","117,000","115,000","118,500","113,000","220.60K","1.74%"
"2014- 09- 30","115,000","123,000","123,500","114,500","425.65K","-7.26%"
"2014- 09- 29","124,000","123,000","124,000","120,000","102.18K","1.22%"
"2014- 09- 28","122,500","122,500","122,500","122,500","","0.00%"
"2014- 09- 26","122,500","124,500","124,500","117,500","395.08K","-3.16%"
"2014- 09- 25","126,500","126,000","126,500","123,500","75.38K","0.80%"
"2014- 09- 24","125,500","123,500","126,000","122,500","97.43K","1.62%"
"2014- 09- 23","123,500","120,500","124,500","120,500","101.60K","1.65%"
"2014- 09- 22","121,500","123,000","123,500","120,000","102.89K","-1.62%"
"2014- 09- 21","123,500","123,500","123,500","123,500","","0.00%"
"2014- 09- 19","123,500","120,500","123,500","120,000","234.60K","3.35%"
"2014- 09- 18","119,500","125,500","126,000","119,000","323.80K","-4.02%"
"2014- 09- 17","124,500","128,500","130,000","124,000","154.13K","-3.49%"
"2014- 09- 16","129,000","128,500","130,500","127,000","92.78K","0.78%"
"2014- 09- 15","128,000","132,500","133,500","126,500","124.27K","-4.12%"
"2014- 09- 14","133,500","133,500","133,500","133,500","","0.00%"
"2014- 09- 12","133,500","135,500","135,500","131,000","60.97K","-0.37%"
"2014- 09- 11","134,000","131,500","135,000","130,500","142.38K","4.28%"
"2014- 09- 10","128,500","128,500","128,500","128,500","","0.00%"
"2014- 09- 05","128,500","129,500","131,000","128,500","58.89K","-0.77%"
"2014- 09- 04","129,500","130,000","132,500","127,500","155.11K","-1.15%"
"2014- 09- 03","131,000","138,000","138,000","131,000","217.50K","-4.73%"
"2014- 09- 02","137,500","137,000","139,000","136,000","83.06K","0.00%"
"2014- 09- 01","137,500","134,000","138,000","134,000","116.31K","2.23%"
"2014- 08- 29","134,500","134,000","135,500","132,000","153.82K","1.89%"
"2014- 08- 28","132,000","136,000","137,500","131,000","162.17K","-4.35%"
"2014- 08- 27","138,000","135,000","139,500","133,000","155.60K","3.76%"
"2014- 08- 26","133,000","132,000","134,000","128,000","154.01K","1.53%"
"2014- 08- 25","131,000","133,000","134,500","129,500","95.49K","-1.87%"
"2014- 08- 24","133,500","133,500","133,500","133,500","","0.00%"
