,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용)
0,케이알모터스(주),000040,2012.0,0,-6.47
1,케이알모터스(주),000040,2013.0,0,-4.29
2,케이알모터스(주),000040,2014.0,0,-4.6
3,케이알모터스(주),000040,2015.0,0,-4.59
4,케이알모터스(주),000040,2016.0,0,-2.26
5,케이알모터스(주),000040,2017.0,0,-6.04
6,케이알모터스(주),000040,2018.0,0,-3.14
7,(주)경방,000050,2012.0,1,0.36
8,(주)삼양홀딩스,000070,2013.0,1,0.14
9,(주)두산,000150,2015.0,1,0.38
10,성창기업지주(주),000180,2012.0,0,0.04
11,성창기업지주(주),000180,2013.0,0,-1.39
12,성창기업지주(주),000180,2014.0,1,-0.05
13,성창기업지주(주),000180,2016.0,0,0.62
14,성창기업지주(주),000180,2017.0,0,-0.19
15,성창기업지주(주),000180,2018.0,0,-3.96
16,디엘(주),000210,2013.0,0,0.53
17,디엘(주),000210,2014.0,1,-3.33
18,일동홀딩스(주),000230,2016.0,0,-2.33
19,일동홀딩스(주),000230,2017.0,0,0.61
20,일동홀딩스(주),000230,2018.0,0,-0.29
21,(주)대유플러스,000300,2011.0,0,0.65
22,(주)대유플러스,000300,2012.0,1,-4.88
23,(주)대유플러스,000300,2014.0,0,0.21
24,(주)대유플러스,000300,2015.0,1,0.38
25,삼환기업(주),000360,2011.0,0,-2.84
26,삼환기업(주),000360,2012.0,0,-3.12
27,(주)로케트전기,000420,2011.0,0,0.05
28,조선내화(주),000480,2017.0,1,-0.64
29,(주)대동,000490,2012.0,1,0.1
30,(주)대동,000490,2015.0,0,0.81
31,(주)대동,000490,2016.0,1,-1.84
32,(주)대동,000490,2018.0,1,0.5
33,가온전선(주),000500,2011.0,1,0.73
34,삼일제약(주),000520,2011.0,0,-3.56
35,삼일제약(주),000520,2012.0,0,-0.84
36,삼일제약(주),000520,2013.0,0,-1.46
37,삼일제약(주),000520,2014.0,1,-6.24
38,삼일제약(주),000520,2017.0,0,0.74
39,삼일제약(주),000520,2018.0,1,-2.39
40,(주)천일고속,000650,2018.0,1,-24.34
41,에스케이하이닉스(주),000660,2012.0,1,-0.72
42,(주)영풍,000670,2014.0,0,-2.84
43,(주)영풍,000670,2015.0,0,-0.66
44,(주)영풍,000670,2016.0,1,-0.56
45,(주)영풍,000670,2018.0,1,-9.39
46,(주)엘에스네트웍스,000680,2011.0,0,0.37
47,(주)엘에스네트웍스,000680,2012.0,0,0.46
48,(주)엘에스네트웍스,000680,2013.0,0,-0.24
49,(주)엘에스네트웍스,000680,2014.0,0,0.14
50,(주)엘에스네트웍스,000680,2015.0,0,-3.68
51,(주)엘에스네트웍스,000680,2016.0,0,-3.28
52,(주)엘에스네트웍스,000680,2017.0,0,0.15
53,(주)엘에스네트웍스,000680,2018.0,0,0.21
54,(주)유수홀딩스,000700,2012.0,0,-19.16
55,(주)유수홀딩스,000700,2013.0,1,-0.5
56,이화산업(주),000760,2017.0,0,0.32
57,이화산업(주),000760,2018.0,0,0.17
58,경남기업(주),000800,2011.0,0,-0.23
59,경남기업(주),000800,2012.0,0,0.28
60,보해양조(주),000890,2011.0,1,-3.98
61,보해양조(주),000890,2016.0,0,-3.86
62,보해양조(주),000890,2017.0,0,0.94
63,보해양조(주),000890,2018.0,0,-3.58
64,(주)유니온,000910,2017.0,0,0.18
65,(주)유니온,000910,2018.0,1,-0.26
66,전방(주),000950,2011.0,0,-3.75
67,전방(주),000950,2012.0,0,-4.14
68,전방(주),000950,2013.0,0,0.74
69,전방(주),000950,2014.0,0,-1.1
70,전방(주),000950,2015.0,0,-1.11
71,전방(주),000950,2016.0,0,-1.28
72,전방(주),000950,2017.0,0,-1.74
73,전방(주),000950,2018.0,0,-0.97
74,(주)DB하이텍,000990,2011.0,0,-0.75
75,(주)DB하이텍,000990,2012.0,0,-0.31
76,(주)DB하이텍,000990,2013.0,0,-0.16
77,(주)DB하이텍,000990,2014.0,1,0.67
78,신라섬유(주),001000,2015.0,1,-9.55
79,신라섬유(주),001000,2017.0,1,0.93
80,페이퍼코리아(주),001020,2011.0,1,-0.9
81,페이퍼코리아(주),001020,2013.0,0,0.18
82,페이퍼코리아(주),001020,2014.0,0,-0.75
83,페이퍼코리아(주),001020,2015.0,0,-2.67
84,페이퍼코리아(주),001020,2016.0,0,-1.35
85,페이퍼코리아(주),001020,2017.0,0,-2.22
86,페이퍼코리아(주),001020,2018.0,0,0.08
87,제이더블유중외제약(주),001060,2011.0,0,0.67
88,제이더블유중외제약(주),001060,2012.0,1,0.39
89,대한방직(주),001070,2011.0,0,-1.26
