,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용),부가가치(백만원),금융비용(백만원),매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,사내유보대자기자본비율,자기자본배당률,배당성향,이익잉여금(결손금)(요약)(백만원),비유동금융부채(요약)(백만원),비유동자산증가율,유동금융부채(요약)(백만원),외국인_주식분포비율,장기금융부채(백만원),자산대비자본비율,차입,총자본증가율,유형자산증가율,비유동자산(백만원),자기자본증가율,매출액증가율,순이익증가율,직원증감률,자산대비_장기금융부채비율,자산대비_장기금융부채비율_증가율,투자축소_여부,직원증감률_여부,종업원수증가율,투자활동현금흐름증감률,매출원가축소_여부,자산매각_여부,배당금축소_여부,자본증가율_여부,차입_여부,사내유보금보유_여부,운용적범주전략(OPS)변수,재무적범주전략(FIN)변수,배당금지급_여부,LEV지수,순자산가치(백만원),KZ지수,산업매출성장률,WW지수,CL지수,NCAV지수,기업생명주기,순매수거래량_기관,순매수거래대금 비중_기관,순매수거래량_외국인,순매수거래대금 비중_외국인
0,케이알모터스(주),000040,2012.0,0,-6.47,-24385.88,726.84,5.87,-8.41,-4.72,-6.52,-10.99,-6.52,-12.38,94.13,106.33,-2.4,0.74,-5.94,-11.16,0.67,1.18,9.21,9.25,6.56,51.69,40.15,107.01,50.95,49.05,106.55,140.95,23.39,102.56,101.57,15.02,8.72,17.11,0.78,1.51,1.64,1.59,3.46,2.29,3.98,3.42,1.66,1.72,0.86,17.75,0.0,0.0,7236.0,0.0,-23.730764650621218,0.0,0.0,408.0,50.94991074945319,0.34191758780493936,-10.507882224122156,-3.377711604715985,57642.0,-11.587290045808189,-23.32680864390855,-532.1259842519685,-5.681818181818182,0.0034191758780493936,0,0,0,-5.681818181818182,698.4848484848485,0.0,1,0,0,0,0,0,1,0,0.0,60797.0,-108177459214.38324,5.164150771386816,3482078657.0018234,344846700677.5612,0.05351571876937471,0,-9765.0,-1.6271948591440343e-05,-268520.0,-0.0002000840254878
1,(주)경방,000050,2012.0,1,0.36,80728.78,19777.92,21.82,-2.37,0.56,-0.59,-1.26,-1.76,-76.01,78.18,97.83,-7.43,5.93,0.88,6.74,5.58,2.75,4.82,4.85,4072.27,9.26,42.78,16.55,46.49,53.51,3993.1,74.98,6.86,58.71,39.23,-3.09,31.11,66.91,0.25,0.53,32.08,0.46,16.53,4.89,5.3,10.74,0.28,1.05,0.8,0.15,0.0,0.0,597426.0,0.0,16.04452661729909,0.0,1.92,389100.0,46.493288590604024,29.1451941514861,-1.27809607756721,5.06072218223787,1211354.0,-1.4292429458920382,-4.169347611278351,599.3810786914235,-2.360876897133221,0.291451941514861,0,0,0,-2.360876897133221,5.227566294354532,0.0,0,0,0,1,0,0,1,0,0.27419930990618363,620704.0,-26358660398.00479,8.167756805621416,3467150797.046453,246689050629.56732,-3.169267256181319,1,13629.0,0.0008484840714149,861.0,4.1838028398276266e-05
2,(주)삼양홀딩스,000070,2013.0,1,0.14,196611.7,-1771.25,13.02,-1.13,0.83,-0.98,-2.6,-1.27,-79.62,86.98,99.89,-0.4,-0.11,-1.08,6.33,-0.11,-0.26,3.34,2.96,2976.55,38.44,26.31,62.45,63.9,36.1,3052.99,160.65,24.37,76.97,57.42,14.51,19.8,30.98,0.87,1.4,56.8,2.3,15.35,2.96,7.9,11.26,1.47,2.46,1.33,1.1,1.0,0.0,871020.0,2614.0,-11.780415971052895,1961.0,10.19,167293.0,63.898479731552314,6.446574810371057,-5.578920673453891,1.982407044007986,1597437.0,-0.28539557594763537,24.949706716393088,-126.20223550818821,-3.0864197530864197,0.06446574810371057,0,1,0,-3.0864197530864197,-102.95220148724495,0.0,0,1,1,1,0,1,1,1,0.07196763425061838,1658210.0,-224397834712.08008,8.684002751584954,1241073629.1225674,133721161315.17218,0.09970686791153638,4,102250.0,0.0020216297307282,-91060.0,-0.001832965114827
3,(주)두산,000150,2015.0,1,0.38,527761.46,93973.48,15.78,-8.97,1.01,-5.41,-14.31,-6.04,-290.16,84.22,98.6,-4.14,3.39,-3.36,14.93,2.97,2.82,4.89,5.09,2077.6,39.05,22.33,64.08,26.6,73.4,1911.18,86.3,16.34,103.02,92.14,-6.2,45.02,169.26,0.6,2.19,81.89,0.83,6.92,2.0,6.77,6.76,0.99,2.18,0.74,75.6,4.33,74.01,1097684.0,39486.0,2.535514238089909,45317.0,8.3,1507738.0,26.598566182167687,20.647465295480554,3.774663619775235,21.629464011929148,4874403.0,-22.153893683750354,-2.791619316517187,-932.175403771542,-1.4131551901336075,0.20647465295480555,0,0,0,-1.4131551901336075,8.302846475498788,1.0,0,1,0,1,1,1,1,1,0.09746018035176288,2279174.0,-74884126054.9263,-11.916158662000132,1823411910.4228127,265488764244.77234,-1.37862704504516,0,-426231.0,-0.0012606345439989,-625687.0,-0.0049268058608712
4,성창기업지주(주),000180,2012.0,0,0.04,162825.36,7041.44,15.69,11.23,0.24,41.06,12.51,8.08,126.54,84.31,99.82,-3.66,4.37,43.27,14.62,4.16,5.65,18.71,8.07,777.89,30.92,29.51,44.76,78.36,21.64,857.89,201.86,72.93,93.84,52.69,15.6,12.24,15.62,0.51,0.83,5.37,1.29,9.94,2.76,5.83,5.89,0.69,0.71,0.96,17.63,0.0,0.0,198323.0,0.0,167.36610852145503,32.0,1.26,16043.0,78.35739555615093,4.884397815219178,6.641601568841356,-6.356983882198651,226893.0,98.1644029689858,8.548809467710557,31.83410797282803,13.043478260869565,0.04884397815219178,0,1,0,13.043478260869565,-828.7584291947641,1.0,0,1,1,0,0,1,1,0,0.0898838004101162,257368.0,-168290336459.42398,10.034438416094343,3759153489.5324206,-169140198899.73712,0.28375232774674114,4,-8032.0,-5.1982843959731546e-05,-19720.0,-8.076180438448566e-05
5,디엘(주),000210,2013.0,0,0.53,527761.46,17691.58,5.17,-0.1,0.89,-0.09,-0.52,-0.12,-11.37,94.83,99.6,-0.08,0.18,0.07,7.08,0.17,0.29,4.08,4.5,2057.46,64.3,14.95,180.08,45.17,54.83,2157.46,155.43,35.04,82.89,155.61,22.93,17.1,37.86,0.9,2.01,45.07,1.64,6.31,1.64,8.99,10.67,2.6,6.75,0.84,29.64,0.08,2.44,1097684.0,39486.0,-11.687070508800941,4609.0,38.86,1155487.0,45.16659344988481,15.823623024609674,3.774663619775235,-7.578303112351397,4874403.0,-22.153893683750354,-2.791619316517187,-110.32972745995882,-1.4131551901336075,0.15823623024609673,0,1,0,-1.4131551901336075,-18.91618093110922,0.0,0,1,0,1,0,1,1,1,0.05393471022134223,2279174.0,-144225767671.30426,8.684002751584954,512436128.6857664,85928071672.98181,-1.1867375655762669,1,2233377.0,0.0122287415014341,-3625979.0,-0.0185324089870611
6,일동홀딩스(주),000230,2016.0,0,-2.33,12234.9,827.1,43.38,11.23,-0.62,58.52,12.51,8.08,126.54,56.62,109.16,-2.03,2.03,58.7,30.52,1.79,0.37,2.37,1.18,1360.47,38.96,6.21,63.82,52.35,47.65,1450.66,162.51,112.1,183.35,51.65,14.99,31.16,59.53,0.09,0.18,2.53,0.18,2.84,0.27,1.01,1.26,0.15,0.42,0.13,84.04,1.01,0.39,532752.0,0.0,-68.41584861268862,0.0,12.66,30078.0,52.3489867116146,14.737760181882326,-35.0469202210074,-57.26800465551991,124578.0,-55.08734360562395,6.448917782825514,-13.567108902536216,-49.333333333333336,0.14737760181882326,0,0,1,-49.333333333333336,6.396748946417821,0.0,1,1,1,1,0,1,1,1,0.10605837033519158,106838.0,-586062326321.2336,0.06138113708600749,-13611524111.594944,-169140198899.73712,-0.09519795049695412,2,-32931.0,-0.0004062702380879,43402.0,-0.0009951222481241
7,(주)대유플러스,000300,2012.0,1,-4.88,28096.06,3110.15,0.91,-4.78,-2.9,-2.99,-15.27,-6.27,-39.58,99.09,104.8,-0.79,0.82,-2.47,5.99,0.77,0.61,5.0,4.8,131.77,29.05,13.55,100.15,16.61,83.39,231.77,120.45,10.37,262.62,260.85,4.93,12.24,73.69,0.62,3.95,10.38,0.74,5.4,2.75,16.72,5.6,2.0,3.51,1.2,-4.24,0.0,0.0,-7892.0,0.0,-14.196936420003963,0.0,1.06,17494.0,16.606742863706852,2.87076314645093,0.6648936170212766,4.352137817697561,428570.0,11.4735137635901,13.285101326031848,292.1746649373108,15.424164524421593,0.0287076314645093,0,0,0,15.424164524421593,32.479558664171016,0.0,0,1,1,0,0,0,1,0,0.015758084117011312,101198.0,-25803693217.334385,5.164150771386816,706806042.5628898,224290724916.4244,-2.5214323851544145,0,-1414659.0,-0.0020008908013668,-1238620.0,-0.0020651680852127
8,삼환기업(주),000360,2012.0,0,-3.12,-36181.69,45756.43,-12.65,-46.02,-8.25,-16.48,-80.4,-25.02,-484.7,112.65,123.35,4.22,7.2,-13.9,6.16,4.14,3.21,16.25,8.34,324.34,50.34,31.88,114.45,14.4,85.6,413.23,92.3,7.9,19.65,13.12,-4.2,20.98,145.65,0.36,1.81,10.94,0.45,5.45,1.09,2.49,6.1,0.75,1.83,0.33,-357.46,0.0,0.0,86482.0,39486.0,-58.01327938401042,45317.0,7.32,26632.0,15.259499403518086,1.8655908743521183,-33.6928612170656,-42.30063568883678,718803.0,-55.08734360562395,-37.54623204476401,191.92559690233276,-13.318777292576419,0.018655908743521184,0,0,0,-13.318777292576419,98.59474651389039,0.0,1,0,0,0,0,0,1,0,0.0011925280335804637,217835.0,58328968395.14331,5.213873330720277,-3141121387.4014473,1769202952824.1782,-4.8601605398485495,3,-432756.0,-0.002887753515673,-172121.0,-0.0032329152046234
9,조선내화(주),000480,2017.0,1,-0.64,171134.01,-994.82,9.96,3.27,0.28,2.3,2.5,3.15,68.63,90.04,100.46,2.39,-0.14,2.2,15.42,-0.14,-0.29,3.61,3.79,2723.46,35.37,42.72,54.72,65.41,34.59,2786.49,122.18,10.14,70.23,45.35,6.42,13.76,21.04,0.71,1.08,34.72,2.04,9.85,3.22,5.09,5.46,1.1,1.89,1.09,2.44,2.33,108.48,439082.0,26390.0,6.5025808473094875,30546.0,3.09,924.0,65.41242922021645,0.09247157299750007,2.9889943167880473,1.5954990710100154,645821.0,3.062785204527321,-2.8223932820153954,-1.4327719860999732,3.052064631956912,0.0009247157299750007,0,0,0,3.052064631956912,37.51044580895978,0.0,0,1,0,0,0,0,1,1,0.0,653617.0,-388307975851.3059,7.191380572470883,-3064399077.986634,-35778456925.298096,0.022376578645235363,1,1387.0,7.46411028549081e-05,2737.0,0.0001397636879155
