,회사명,거래소코드,회계년도,기업생명주기
1,(주)삼양홀딩스,000070,2013,4
494,(주)에스에프에이반도체,036540,2013,1
492,에스케이 머티리얼즈(주),036490,2013,2
487,(주)이지홀딩스,035810,2013,1
477,신세계건설(주),034300,2013,1
1006,(주)디엔에프,092070,2013,0
1008,한라아이엠에스(주),092460,2013,1
459,(주)좋은사람들,033340,2013,2
1020,이엘케이(주),094190,2013,0
1063,삼강엠앤티(주),100090,2013,1
422,(주)아즈텍더블유비이,032080,2013,3
414,(주)녹십자셀,031390,2013,3
407,(주)드래곤플라이,030350,2013,1
398,삼성엔지니어링(주),028050,2013,3
394,(주)팜스토리,027710,2013,2
385,광진실업(주),026910,2013,2
381,동화기업(주),025900,2013,0
1077,(주)에스앤에스텍,101490,2013,1
1097,(주)케이엔더블유,105330,2013,1
359,흥구석유(주),024060,2013,2
1101,(주)우진,105840,2013,1
350,(주)MH에탄올,023150,2013,2
1108,(주)파인테크닉스,106240,2013,2
314,에스지씨이테크건설(주),016250,2013,1
290,(주)원익큐브,014190,2013,1
283,(주)스페코,013810,2013,0
1146,아이텍(주),119830,2013,2
1155,(주)에스디시스템,121890,2013,3
1162,(주)썬테크놀로지스,122800,2013,1
1166,(주)원익테라세미콘,123100,2013,2
496,(주)팜스코,036580,2013,2
180,(주)에이프로젠,007460,2013,0
499,(주)심텍홀딩스,036710,2013,1
994,(주)제이스텍,090470,2013,0
831,(주)코스온,069110,2013,0
853,(주)코아스,071950,2013,2
813,하나마이크론(주),067310,2013,1
802,(주)하츠,066130,2013,3
798,(주)파커스,065690,2013,2
889,(주)한컴지엠디,077280,2013,4
776,(주)젬백스링크,064800,2013,3
766,(주)홈캐스트,064240,2013,1
757,(주)티엘아이,062860,2013,1
907,(주)사조해표,079660,2013,3
723,(주)CMG제약,058820,2013,4
698,(주)키이스트,054780,2013,2
677,경남제약(주),053950,2013,4
934,(주)이엠앤아이,083470,2013,0
944,팅크웨어(주),084730,2013,0
667,(주)바이넥스,053030,2013,4
651,(주)피씨디렉트,051380,2013,0
948,(주)엔케이,085310,2013,2
621,대원미디어(주),048910,2013,1
954,(주)뉴프렉스,085670,2013,0
961,(주)유니테스트,086390,2013,3
962,(주)에코프로,086520,2013,1
602,(주)파워로직스,047310,2013,1
598,(주)대우건설,047040,2013,3
594,우원개발(주),046940,2013,3
577,(주)태웅,044490,2013,3
565,(주)지니뮤직,043610,2013,2
978,(주)제이티,089790,2013,3
521,현대에이치티(주),039010,2013,3
999,에스엔케이폴리텍(주),091340,2013,3
153,삼성SDI(주),006400,2013,2
849,에이테크솔루션(주),071670,2013,1
1211,코오롱플라스틱(주),138490,2013,0
144,(주)화승인더스트리,006060,2013,1
122,부산주공(주),005030,2013,1
75,(주)혜인,003010,2013,2
46,한국유리공업(주),002000,2013,3
40,(주)신화다이나믹스,001770,2013,4
130,(주)모나미,005360,2013,2
72,티와이엠(주),002900,2014,1
146,(주)사조오양,006090,2014,1
503,우리엔터프라이즈(주),037400,2014,2
506,(주)희림종합건축사사무소,037440,2014,0
526,인포뱅크(주),039290,2014,0
488,(주)클라우드에어,036170,2014,1
533,(주)디오,039840,2014,0
546,라온시큐어(주),042510,2014,0
557,케이맥(주),043290,2014,0
1217,(주)비아트론,141000,2014,3
66,(주)선앤엘,002820,2014,2
1207,제이씨케미칼(주),137950,2014,0
85,(주)아이에이치큐,003560,2014,1
572,KD(주),044180,2014,0
1073,(주)아이엠,101390,2014,3
110,송원산업(주),004430,2014,2
105,한솔홀딩스(주),004150,2014,1
413,(주)에스에이엠티,031330,2014,3
104,(주)동방,004140,2014,2
415,(주)오스템,031510,2014,2
842,엑스큐어(주),070300,2014,4
98,남양유업(주),003920,2014,4
427,티제이미디어(주),032540,2014,2
1050,(주)에스티오,098660,2014,1
1043,SK이노베이션(주),096770,2014,1
92,한성기업(주),003680,2014,0
450,시그네틱스(주),033170,2014,2
458,코웰패션(주),033290,2014,3
86,SNT중공업(주),003570,2014,2
473,(주)에스비에스,034120,2014,1
588,한일네트웍스(주),046110,2014,1
593,서울반도체(주),046890,2014,1
361,디씨엠(주),024090,2014,2
909,(주)디이엔티,079810,2014,3
735,(주)뉴보텍,060260,2014,0
743,(주)홈센타홀딩스,060560,2014,2
748,(주)씨티씨바이오,060590,2014,0
754,(주)알에프텍,061040,2014,1
756,엘비세미콘(주),061970,2014,2
729,(주)메타바이오메드,059210,2014,0
761,(주)종근당바이오,063160,2014,2
788,(주)이루온,065440,2014,0
800,(주)웰크론,065950,2014,4
884,(주)웰크론한텍,076080,2014,3
819,도이치모터스(주),067990,2014,0
859,유엔젤(주),072130,2014,4
7,디엘(주),000210,2014,1
901,(주)지에스,078930,2014,1
590,(주)오르비텍,046120,2014,2
725,(주)미코,059090,2014,2
912,인베니아(주),079950,2014,3
595,(주)우리로,046970,2014,0
54,알보젠코리아(주),002250,2014,0
44,삼화콘덴서공업(주),001820,2014,1
639,(주)미래컴퍼니,049950,2014,3
661,(주)아모텍,052710,2014,1
662,(주)아이톡시,052770,2014,2
707,신화인터텍(주),056700,2014,2
664,(주)액토즈소프트,052790,2014,4
36,(주)조비,001550,2014,1
931,우리바이오(주),082850,2014,2
682,(주)삼진엘앤디,054090,2014,2
690,(주)케이피티유,054410,2014,1
914,에스엔유프리시젼(주),080000,2014,0
32,백광산업(주),001340,2014,2
37,케이비아이동국실업(주),001620,2014,1
119,한신공영(주),004960,2014,3
418,(주)콤텍시스템,031820,2014,2
244,(주)현대미포조선,010620,2014,3
304,(주)예스코홀딩스,015360,2014,2
1121,디젠스(주),113810,2014,0
1130,케이피엑스라이프사이언스(주),114450,2014,2
1136,(주)씨유메디칼시스템,115480,2014,2
280,계룡건설산업(주),013580,2014,4
278,일성건설(주),013360,2014,0
1188,(주)시큐브,131090,2014,3
1187,씨제이이앤엠(주),130960,2014,1
196,원풍물산(주),008290,2014,0
260,(주)갤럭시아에스엠,011420,2014,3
1115,(주)지유온,111820,2014,2
1182,제이엔케이히터(주),126880,2014,3
251,에쓰-오일(주),010950,2014,1
240,웰바이오텍(주),010600,2014,0
208,삼성전기(주),009150,2014,2
1165,(주)엠에스오토텍,123040,2014,1
210,무림페이퍼(주),009200,2014,2
227,(주)코센,009730,2014,0
224,삼보산업(주),009620,2014,0
222,무림피앤피(주),009580,2014,2
213,참엔지니어링(주),009310,2014,3
217,(주)포스코엠텍,009520,2014,4
205,동양철관(주),008970,2014,0
166,보성파워텍(주),006910,2014,3
214,(주)태영건설,009410,2014,3
151,지에스건설(주),006360,2014,1
125,에스지씨에너지(주),005090,2014,1
1105,(주)하이소닉,106080,2014,0
1205,(주)피엔티,137400,2015,0
720,파나케이아(주),058530,2015,0
55,아세아제지(주),002310,2015,3
136,한일사료(주),005860,2015,0
256,태림포장(주),011280,2015,1
582,(주)토탈소프트뱅크,045340,2015,4
580,(주)에이치케이,044780,2015,1
1230,(주)모다,149940,2015,3
25,신라섬유(주),001000,2015,0
1148,(주)골프존뉴딘홀딩스,121440,2015,4
107,고려개발(주),004200,2015,2
