,회사명,거래소코드,회계년도,회생여부,이자보상배율(이자비용),이자보상배율(이자비용)_전년도,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),감가상각비(백만원),총자본증가율,유형자산증가율,비유동자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,순이익증가율,매출액총이익률,매출액순이익률,총자본사업이익률,총자본순이익률,자기자본순이익률,경영자본순이익률,자본금순이익률,매출원가대매출액비율,영업비용대영업수익비율,금융손익비율,금융비용부담률,기업순이익률,인건비대총비용비율,금융비용대총비용비율,이자부담률,지급이자율,차입금평균이자율,유보율,유동자산구성비율,재고자산대유동자산비율,유동자산대비유동자산비율,자기자본구성비율,타인자본구성비율,자기자본배율,유동비율,현금비율,매출채권비율,매입채무대재고자산비율,순운전자본비율,차입금의존도,차입금비율,총자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,종업원수,종업원수증가율,사내유보율,사내유보대자기자본비율,평균배당률,자기자본배당률,배당성향,1주당순자산(원),장기차입금(요약)(백만원),자산(*)(요약)(백만원),당기순이익(손실)(요약)(백만원),현금및현금성자산(요약)(백만원),영업활동으로인한현금흐름(간접법)(*)(요약)(백만원),투자활동으로인한현금흐름(*)(요약)(백만원),재무활동으로인한현금흐름(*)(요약)(백만원),유동자산(*)(요약)(백만원),유동부채(*)(요약)(백만원),법인세비용차감전순이익(손실)(요약)(백만원),*이자비용(요약)(백만원),배당금지급(-)(요약)(백만원),재고자산(요약)(백만원),매출채권및기타유동채권(요약)(백만원),단기차입금(요약)(백만원),유형자산(요약)(백만원),매출액(수익)(요약)(백만원),*(정상)영업손익(보고서기재)(요약)(백만원),이익잉여금(결손금)(요약)(백만원),자본(*)(요약)(백만원),통계청한국표준산업분류10차(대분류),보통주배당금_현금(천원),우선주배당금_현금(천원),부채(*)(요약)(백만원),비유동금융부채(요약)(백만원),유동금융부채(요약)(백만원),사채(요약)(백만원),장기매입채무및기타비유동채무(요약)(백만원),기타금융업부채(요약)(백만원),외국인_주식분포비율,배당금(총합)_현금(천원),시가총액,증자,장기금융부채,자본증가율,종업원수_내년,배당성향_내년,투자활동으로인한현금흐름(*)(요약)(백만원)_내년,매출원가대매출액비율_내년,보통주배당금_현금(천원)_내년,증자_내년,장기금융부채_내년,자산(*)(요약)(백만원)_내년
0,케이알모터스(주),000040,2012.0,False,-6.47,2.21,-24385.88,-8232.05,-12026.31,726.84,3605.56,-10.51,-3.38,-4.43,-15.53,1.55,-10.32,-23.33,0.0,5.87,-8.41,-4.72,-6.52,-10.99,-6.52,-12.38,94.13,106.33,-2.4,0.74,-5.94,-11.16,0.67,1.18,9.21,9.25,6.56,51.69,40.15,107.01,50.95,49.05,106.55,140.95,23.39,102.56,101.57,15.02,8.72,17.11,0.78,1.51,1.64,1.59,3.46,1.45,2.29,3.98,3.42,1.66,1.72,0.86,0.25,249.0,-5.68,0.0,17.75,0.0,0.0,0.0,561.3,0.0,119327.0,-8232.0,10237.0,-4566.0,-527.0,97.0,61685.0,43763.0,-8232.0,958.0,0.0,24763.0,26201.0,10402.0,55810.0,97927.0,-6199.0,7236.0,60797.0,제조업,0.0,0.0,58530.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,58954641226.0,50.94991074945319,408.0,29246.813725490192,264.0,0.0,-66.0,87.89,0.0,51.57194498192563,341.0,133338.0
1,케이알모터스(주),000040,2013.0,False,-4.29,-6.47,9379.15,-6614.45,11471.4,603.89,3494.34,-2.01,1.02,-0.71,-3.22,-33.33,-9.85,1.66,0.0,7.59,-6.64,-2.77,-5.6,-10.28,-5.6,-10.41,92.41,103.5,-1.25,0.61,-5.09,10.64,0.56,1.02,7.67,7.75,-3.94,51.05,27.66,104.3,49.02,50.98,96.05,129.91,17.23,207.12,146.77,11.75,9.07,18.49,0.84,1.69,1.67,1.69,4.03,1.64,2.49,4.82,3.34,1.73,1.77,0.94,0.24,237.0,-4.82,0.0,2.27,0.0,0.0,0.0,475.37,0.0,116932.0,-6614.0,7918.0,845.0,-3362.0,198.0,59698.0,45953.0,-6614.0,813.0,0.0,16511.0,35067.0,10600.0,56382.0,99553.0,-3487.0,1299.0,57315.0,제조업,0.0,0.0,59617.0,0.0,0.0,0.0,416.0,0.0,0.11,0.0,52271524002.0,49.01566722539596,416.0,28108.653846153844,249.0,0.0,-527.0,94.13,0.0,50.94991074945319,408.0,119327.0
2,(주)경방,000050,2012.0,True,0.36,1.15,80728.78,-10281.66,23852.76,19777.92,23086.26,-1.28,5.06,-0.19,-10.81,-27.52,-1.43,-4.17,0.0,21.82,-2.37,0.56,-0.59,-1.26,-1.76,-76.01,78.18,97.83,-7.43,5.93,0.88,6.74,5.58,2.75,4.82,4.85,5878.49,9.26,42.78,10.21,46.49,53.51,5968.33,74.98,6.86,58.71,39.23,-3.09,31.11,66.91,0.25,0.53,32.08,0.46,16.53,2.54,4.89,5.3,10.74,0.28,1.05,0.8,0.0,579.0,-2.36,0.0,0.15,0.0,0.0,0.0,321244.92,297504.0,1335040.0,-7910.0,11322.0,17789.0,-27698.0,8478.0,123686.0,164949.0,-10282.0,20033.0,0.0,52908.0,41989.0,99503.0,324064.0,333621.0,7254.0,597426.0,620704.0,도매 및 소매업,0.0,0.0,714336.0,0.0,0.0,0.0,91596.0,0.0,1.92,0.0,186368000000.0,46.493288590604024,389100.0,343.10974042662554,593.0,0.0,-26322.0,74.34,0.0,46.56458067741163,146777.0,1352324.0
3,(주)삼양홀딩스,000070,2013.0,True,0.14,1.4,196611.7,-10089.16,151366.0,-2605.14,57940.0,-5.58,1.98,0.99,-14.49,-19.77,6.35,24.95,0.0,13.02,-1.13,0.83,-0.98,-2.6,-1.27,-79.62,86.98,99.89,-0.4,-0.11,-1.08,6.33,-0.11,-0.26,3.34,2.96,2976.55,38.44,26.31,62.45,63.9,36.1,3052.99,160.65,24.37,76.97,57.42,14.51,19.8,30.98,0.87,1.4,56.8,2.3,15.35,2.15,2.96,7.9,11.26,1.47,2.46,1.33,0.26,157.0,-3.09,0.0,1.1,22.46,1.0,0.0,112301.34,111289.0,2595068.0,-26208.0,151347.0,-23219.0,1457.0,-1621.0,997631.0,620993.0,-10089.0,17176.0,0.0,262460.0,220750.0,295198.0,956236.0,2329145.0,2472.0,871020.0,1658209.0,"전문, 과학 및 기술 서비스업",9127000.0,389000.0,936858.0,2614.0,1961.0,50000.0,6004.0,0.0,10.19,9516000.0,609516689000.0,63.898479731552314,167293.0,1551.211347755136,162.0,23.11,-49353.0,87.17,10256000.0,60.506316586492716,219084.0,2748399.0
4,(주)두산,000150,2015.0,True,0.38,1.43,3114724.49,-1446153.51,3231117.0,642401.0,688649.0,0.6,2.48,0.73,0.38,-3.4,-10.81,-7.37,0.0,15.78,-8.97,1.01,-5.41,-14.31,-6.04,-290.16,84.22,98.6,-4.14,3.39,-3.36,14.93,2.97,2.82,4.89,5.09,2077.6,39.05,22.33,64.08,26.6,73.4,1911.18,86.3,16.34,103.02,92.14,-6.2,45.02,169.26,0.6,2.19,140.62,0.83,6.92,1.54,2.0,6.77,6.76,0.99,2.18,0.74,0.15,3930.0,-0.25,100.0,75.6,67.69,4.33,74.01,68975.77,3715288.0,31556310.0,-1700810.0,2332606.0,-17770.0,-445760.0,1113712.0,12323752.0,14279682.0,-1627806.0,684132.0,0.0,2752318.0,5382222.0,4616776.0,8796055.0,16902387.0,70612.0,1357017.0,8393526.0,"전문, 과학 및 기술 서비스업",69584788.0,17435205.0,23162785.0,326793.0,628026.0,2797454.0,0.0,0.0,8.3,87019993.0,1882473588000.0,26.598566182167687,6512742.0,484.53186077384913,3940.0,38.77,-610987.0,83.45,63641567.0,28.379150953320604,7358301.0,31369300.0
5,성창기업지주(주),000180,2013.0,False,-1.39,0.04,28423.83,-2743.58,26305.23,1111.8,3750.38,-1.35,4.18,7.18,-20.43,16.46,-1.53,-6.5,0.0,14.62,-2.82,-0.52,-1.31,-1.67,-1.35,-14.19,85.38,101.41,-0.87,0.74,-0.96,16.93,0.72,1.57,3.49,3.64,744.74,24.94,43.2,33.23,78.21,21.79,844.74,141.85,20.2,81.77,55.23,7.36,13.52,17.29,0.46,0.59,5.03,2.13,8.6,1.65,2.57,4.65,5.32,0.64,0.67,1.04,0.73,71.0,-8.97,0.0,11.86,0.0,0.0,0.0,14387.97,13133.0,324009.0,-4258.0,11508.0,-6342.0,-19373.0,532.0,80815.0,56970.0,-2744.0,1528.0,0.0,34910.0,28556.0,25285.0,228376.0,150769.0,-2122.0,188378.0,253423.0,"전문, 과학 및 기술 서비스업",0.0,0.0,70586.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,96156414000.0,78.21480267523432,13133.0,2467.136221731516,78.0,0.0,151698.0,84.31,0.0,78.35739555615093,16043.0,328454.0
6,성창기업지주(주),000180,2016.0,False,0.62,1.94,56531.73,20655.24,28628.29,841.14,6857.16,75.57,120.34,117.02,-12.18,9.75,80.33,2.29,851.65,15.83,11.64,0.34,4.23,5.41,4.36,58.73,84.17,99.46,-0.46,0.46,4.4,15.59,0.46,0.78,4.44,4.39,1304.93,16.05,36.06,19.11,79.15,20.85,1397.28,174.24,22.23,98.5,72.08,6.84,5.58,7.05,0.36,0.46,5.04,1.68,8.52,1.66,2.45,5.15,5.51,0.46,0.49,1.09,0.47,67.0,1.52,100.0,4.98,1.91,0.25,39.25,38843.19,12193.0,636441.0,21111.0,13027.0,2279.0,-18962.0,-6677.0,102126.0,58611.0,20655.0,1578.0,0.0,36827.0,36797.0,18421.0,512613.0,181374.0,976.0,205777.0,503756.0,"전문, 과학 및 기술 서비스업",687834.0,0.0,132685.0,0.0,0.0,0.0,0.0,0.0,1.73,687834.0,221810088000.0,79.15203451694659,12193.0,5219.724432051177,66.0,104.88,-13249.0,84.06,2080654.0,76.94964441575495,23691.0,362502.0
7,성창기업지주(주),000180,2017.0,False,-0.19,0.62,38510.47,4231.3,25849.23,972.87,7907.17,2.78,3.97,4.13,-4.31,11.02,-0.26,-1.7,-80.35,15.16,2.31,0.01,0.64,0.83,0.66,11.54,84.84,100.13,-0.39,0.55,0.79,13.97,0.53,0.68,2.02,2.56,1315.95,14.94,41.84,17.56,76.74,23.26,1393.67,143.07,20.33,82.18,50.5,4.5,9.49,12.37,0.28,0.35,4.95,1.25,7.56,1.78,2.92,4.59,5.1,0.33,0.34,1.09,0.47,75.0,11.94,0.0,8.03,0.0,0.0,0.0,3940.51,22009.0,654109.0,4121.0,13885.0,6675.0,12446.0,-18088.0,97727.0,68308.0,4231.0,1251.0,0.0,40886.0,34211.0,31393.0,532981.0,178284.0,-237.0,209398.0,501972.0,"전문, 과학 및 기술 서비스업",0.0,0.0,152138.0,58.0,0.0,1020.0,0.0,0.0,3.53,0.0,182749192000.0,76.74133821733075,23029.0,2840.370836771028,67.0,39.25,-18962.0,84.17,687834.0,79.15203451694659,12193.0,636441.0
8,디엘(주),000210,2013.0,False,0.53,6.12,857909.26,-13601.32,729812.0,17691.58,72139.0,-2.03,-7.58,3.65,-4.92,-10.26,-1.35,-3.96,0.0,5.17,-0.1,0.89,-0.09,-0.52,-0.12,-11.37,94.83,99.6,-0.08,0.18,0.07,7.08,0.17,0.29,4.08,4.5,2057.46,64.3,14.95,180.08,45.17,54.83,2157.46,155.43,35.04,82.89,155.61,22.93,17.1,37.86,0.9,2.01,45.07,1.64,6.31,1.38,1.64,8.99,10.67,2.6,6.75,0.84,0.07,5456.0,0.66,0.0,29.64,1.85,0.08,2.44,127197.07,415848.0,10783047.0,-10332.0,1562914.0,34695.0,-269731.0,320313.0,6933026.0,4460408.0,-13601.0,75300.0,0.0,1036184.0,3263267.0,327261.0,1402234.0,9846917.0,39658.0,3961357.0,4870335.0,"전문, 과학 및 기술 서비스업",3480000.0,570000.0,5912712.0,53125.0,4609.0,563102.0,176537.0,0.0,38.86,4050000.0,3274680000000.0,45.16659344988481,1155487.0,933.2036621788042,5420.0,3.99,-332657.0,89.92,17400000.0,44.68775590064352,1062809.0,11006469.0
9,디엘(주),000210,2014.0,True,-3.33,0.53,494645.17,-399132.2,730449.0,31419.37,79197.0,-1.73,-4.32,8.4,-7.35,-9.9,-10.31,-5.61,0.0,2.11,-4.74,-2.06,-4.12,-10.15,-5.19,-207.78,97.89,102.91,-0.12,0.34,-3.83,7.29,0.31,0.52,4.26,4.33,1835.07,60.61,14.54,153.9,42.14,57.86,1935.07,149.36,31.91,100.66,159.59,20.03,17.98,42.66,0.87,1.99,42.54,1.54,5.99,1.39,1.63,9.44,10.34,2.32,6.77,0.84,0.07,5234.0,-4.07,0.0,18.54,1.85,0.09,0.0,114850.51,799387.0,10596719.0,-440509.0,1372464.0,31727.0,-348620.0,124893.0,6423126.0,4300521.0,-399132.0,81121.0,0.0,933605.0,3006453.0,325936.0,1341688.0,9294734.0,-270236.0,3489562.0,4465255.0,"전문, 과학 및 기술 서비스업",3480000.0,570000.0,6131464.0,66937.0,36451.0,578497.0,135647.0,0.0,28.6,4050000.0,2289840000000.0,42.13809010128512,1513531.0,700.132273471769,5456.0,2.44,-269731.0,94.83,3480000.0,45.16659344988481,1155487.0,10783047.0
10,일동홀딩스(주),000230,2016.0,False,-2.33,4.43,12234.9,-4551.66,14131.49,827.1,12253.01,-71.08,-84.11,-69.19,-73.61,-93.52,-69.9,-91.44,1167.85,43.38,652.89,-0.62,58.52,117.47,66.44,1647.45,56.62,109.16,-2.03,2.03,58.7,30.52,1.79,0.37,2.37,1.18,1360.47,38.96,6.21,63.82,52.35,47.65,1450.66,162.51,112.1,183.35,51.65,14.99,31.16,59.53,0.09,0.18,2.53,0.18,2.84,0.21,0.27,1.01,0.56,0.15,0.23,0.13,0.0,72.0,-95.03,0.0,471.7,14.49,1.01,0.39,5778.4,30078.0,204088.0,266191.0,54847.0,46643.0,-42414.0,-19460.0,79510.0,48925.0,-4552.0,1509.0,0.0,4934.0,14356.0,0.0,49462.0,40771.0,-3510.0,532752.0,106838.0,제조업,1046751.0,0.0,97250.0,0.0,0.0,0.0,0.0,0.0,12.66,1046751.0,186348549600.0,52.3489867116146,30078.0,678.5291575237716,1449.0,33.77,-39864.0,50.32,7270947.0,49.59781077549679,75495.0,705638.0
11,일동홀딩스(주),000230,2017.0,False,0.61,-2.33,20134.11,-174.76,15539.49,1550.73,2502.66,34.67,0.43,73.81,-26.66,8.93,65.33,0.73,-99.76,44.23,0.06,0.78,0.01,0.47,0.02,7.36,55.77,104.45,-3.78,3.78,0.66,34.46,3.44,1.57,3.21,3.27,1558.09,21.22,9.22,26.93,63.54,36.46,1651.34,71.46,42.23,150.36,61.21,-8.47,24.03,37.81,0.17,0.29,4.64,0.42,14.07,0.6,0.64,7.97,4.8,0.24,0.83,0.31,0.0,73.0,1.39,0.0,1.33,19.53,1.19,318.44,17493.93,60.0,274234.0,-555.0,34458.0,-2191.0,-19060.0,862.0,58317.0,81602.0,-780.0,2119.0,0.0,5374.0,15868.0,0.0,49674.0,41071.0,686.0,41649.0,174057.0,제조업,2049164.0,0.0,100177.0,0.0,8.0,0.0,0.0,0.0,2.76,2049164.0,158927984400.0,63.47024803634852,60.0,457056.6666666667,72.0,0.39,-42414.0,56.62,1046751.0,52.3489867116146,30078.0,204088.0
12,(주)대유플러스,000300,2012.0,True,-4.88,0.65,28096.06,-20808.0,24144.1,3110.15,11084.0,0.66,4.35,-12.52,22.34,12.09,14.05,13.29,0.0,0.91,-4.78,-2.9,-2.99,-15.27,-6.27,-39.58,99.09,104.8,-0.79,0.82,-2.47,5.99,0.77,0.61,5.0,4.8,131.77,29.05,13.55,100.15,16.61,83.39,231.77,120.45,10.37,262.62,260.85,4.93,12.24,73.69,0.62,3.95,10.38,0.74,5.4,2.36,2.75,16.72,5.6,2.0,3.51,1.2,0.06,449.0,15.42,0.0,-4.24,0.0,0.0,0.0,1201.69,10054.0,609385.0,-18142.0,15235.0,-2413.0,-26896.0,30965.0,180815.0,146968.0,-20808.0,3731.0,0.0,23979.0,69270.0,52361.0,110487.0,379402.0,-18206.0,-7892.0,101199.0,제조업,0.0,0.0,508187.0,0.0,0.0,7000.0,440.0,335816.0,1.06,0.0,129835724300.0,16.606742863706852,17494.0,3483.3943066194124,389.0,0.0,-20302.0,94.15,1063000.0,14.996530989824237,20718.0,605360.0
13,(주)대유플러스,000300,2014.0,False,0.21,2.74,68757.45,-2397.44,37068.61,2443.69,14732.68,10.55,16.58,15.0,8.09,69.79,-4.43,18.44,0.0,7.58,-0.77,0.16,-0.57,-7.53,-1.07,-17.25,92.42,99.88,-0.48,0.49,-0.21,7.31,0.48,0.43,3.72,4.52,122.56,31.25,18.79,104.97,15.13,84.87,222.56,118.13,8.13,143.92,264.61,4.8,11.12,73.46,0.75,4.67,11.45,0.89,5.1,2.36,2.79,15.22,8.74,2.55,3.89,1.33,0.05,159.0,-68.39,0.0,-5.25,0.0,0.0,0.0,1026.18,19475.0,706651.0,-3864.0,15186.0,17186.0,-39030.0,29050.0,220800.0,186909.0,-2397.0,2925.0,0.0,41490.0,64372.0,45189.0,138728.0,501739.0,614.0,-14014.0,106949.0,제조업,0.0,0.0,599702.0,465.0,0.0,7000.0,515.0,372325.0,4.16,0.0,108388246980.0,15.134627984677017,26990.0,2618.195628010374,503.0,0.0,-61678.0,91.72,0.0,16.86380211470201,20152.0,639239.0
